year,male,female,data_source
1777,0.0,1.0,DAAO
1778,0.0,1.0,DAAO
1779,0.0,1.0,DAAO
1780,0.0,1.0,DAAO
1781,0.0,1.0,DAAO
1782,0.0,1.0,DAAO
1783,0.0,1.0,DAAO
1784,0.0,1.0,DAAO
1785,0.0,1.0,DAAO
1786,0.0,1.0,DAAO
1787,0.0,1.0,DAAO
1788,0.0,1.0,DAAO
1789,0.0,1.0,DAAO
1790,0.0,1.0,DAAO
1791,1.0,1.0,DAAO
1792,2.0,1.0,DAAO
1793,2.0,1.0,DAAO
1794,3.0,1.0,DAAO
1795,2.0,1.0,DAAO
1796,2.0,1.0,DAAO
1797,2.0,1.0,DAAO
1798,2.0,1.0,DAAO
1799,3.0,1.0,DAAO
1800,5.0,1.0,DAAO
1801,5.0,1.0,DAAO
1802,5.0,1.0,DAAO
1803,5.0,1.0,DAAO
1804,5.0,1.0,DAAO
1805,4.0,1.0,DAAO
1806,5.0,2.0,DAAO
1807,6.0,2.0,DAAO
1808,6.0,3.0,DAAO
1809,7.0,3.0,DAAO
1810,8.0,3.0,DAAO
1811,10.0,3.0,DAAO
1812,10.0,3.0,DAAO
1813,10.0,3.0,DAAO
1814,11.0,3.0,DAAO
1815,11.0,3.0,DAAO
1816,10.0,4.0,DAAO
1817,10.0,4.0,DAAO
1818,11.0,5.0,DAAO
1819,11.0,6.0,DAAO
1820,13.0,7.0,DAAO
1821,12.0,6.0,DAAO
1822,13.0,6.0,DAAO
1823,14.0,6.0,DAAO
1824,14.0,8.0,DAAO
1825,14.0,8.0,DAAO
1826,15.0,8.0,DAAO
1827,15.0,8.0,DAAO
1828,18.0,9.0,DAAO
1829,22.0,9.0,DAAO
1830,22.0,13.0,DAAO
1831,21.0,13.0,DAAO
1832,23.0,14.0,DAAO
1833,24.0,15.0,DAAO
1834,25.0,19.0,DAAO
1835,29.0,21.0,DAAO
1836,30.0,23.0,DAAO
1837,30.0,24.0,DAAO
1838,31.0,25.0,DAAO
1839,31.0,26.0,DAAO
1840,37.0,35.0,DAAO
1841,39.0,36.0,DAAO
1842,43.0,38.0,DAAO
1843,43.0,38.0,DAAO
1844,44.0,35.0,DAAO
1845,47.0,37.0,DAAO
1846,50.0,44.0,DAAO
1847,58.0,46.0,DAAO
1848,56.0,43.0,DAAO
1849,61.0,46.0,DAAO
1850,78.0,55.0,DAAO
1851,80.0,54.0,DAAO
1852,87.0,56.0,DAAO
1853,97.0,61.0,DAAO
1854,107.0,64.0,DAAO
1855,112.0,67.0,DAAO
1856,112.0,71.0,DAAO
1857,118.0,72.0,DAAO
1858,123.0,72.0,DAAO
1859,125.0,77.0,DAAO
1860,128.0,79.0,DAAO
1861,136.0,79.0,DAAO
1862,141.0,79.0,DAAO
1863,146.0,77.0,DAAO
1864,153.0,77.0,DAAO
1865,163.0,81.0,DAAO
1866,177.0,78.0,DAAO
1867,180.0,72.0,DAAO
1868,170.0,73.0,DAAO
1869,158.0,76.0,DAAO
1870,159.0,71.0,DAAO
1871,156.0,67.0,DAAO
1872,155.0,70.0,DAAO
1873,149.0,69.0,DAAO
1874,143.0,62.0,DAAO
1875,144.0,61.0,DAAO
1876,141.0,59.0,DAAO
1877,145.0,61.0,DAAO
1878,146.0,56.0,DAAO
1879,152.0,69.0,DAAO
1880,162.0,78.0,DAAO
1881,157.0,62.0,DAAO
1882,153.0,63.0,DAAO
1883,158.0,66.0,DAAO
1884,150.0,64.0,DAAO
1885,154.0,66.0,DAAO
1886,154.0,66.0,DAAO
1887,159.0,70.0,DAAO
1888,168.0,99.0,DAAO
1889,166.0,99.0,DAAO
1890,170.0,91.0,DAAO
1891,167.0,87.0,DAAO
1892,156.0,90.0,DAAO
1893,155.0,87.0,DAAO
1894,156.0,89.0,DAAO
1895,161.0,90.0,DAAO
1896,165.0,95.0,DAAO
