text,category,cat_count,clean_text,clean_text_sampled,cluster
Kipper is a game developer based in Melbourne. After working in the commercial industry for several years as a games programmer he became creative director of the community-based game project Escape From Woomera (www.escapefromwoomera.org). The politics of the videogame as an art form and games as a medium for cultural resistance are Kipper's main areas of interest. He is also focused on issues facing game developers as creative labourers and is a founding member of the Game Developers' Liberation Organisation. ,Kipper,1,kipper game developer based melbourne working commercial industry several years games programmer became creative director community based game project escape woomera www escapefromwoomera org politics videogame art form games medium cultural resistance kipper main areas interest also focused issues facing game developers creative labourers founding member game developers liberation organisation,kipper game developer based melbourne working commercial industry several years games programmer became creative director community based game project escape woomera www escapefromwoomera org politics videogame art form games medium cultural resistance kipper main areas interest also focused issues facing game developers creative labourers founding member game developers liberation organisation,2
"Paterson Brothers, Melbourne completed one of their first interior decoration commissions at Villa Alba, Kew in 1884.  This commission included fabrics, valances, tiles, Japanese “leather” paper, furniture from local retailer W.H. Rocke & Co. as well as the Paterson Bros.’s much-admired interior painting and stencilling scheme.Paterson Brothers in Melbourne’s Little Collins Street  provided competition for the British firms active in the colonies such as Gillow of London (active in Melbourne) and Morris and Company (active in Adelaide). There were other smaller decorating firms, of course, as well as architects and individual decorators at work in all the wealthier 19th century colonies.
Melbourne’s Paterson Brothers completed one of their first interior decoration commissions at Villa Alba, Kew in 1884.  This commission included fabrics, valances, tiles, Japanese “leather” paper, furniture from local retailer W.H. Rocke & Co. as well as the Paterson Bros.’s much-admired interior painting and stencilling scheme.
Other well-known Paterson Bros. commissions included Trades Hall Council Chambers (c.1884), “Bracknell”, a Toorak mansion now demolished, where Liberty fabrics and painted and stencilled wall decorations were used. It is tempting to suggest that the retailer W.H. Rocke & Co. (who also supplied decorating services in the 19th century) provided an early model for the famed Georges Department Store.
This summary relies on Andrew Montana. The Art Movement in Australia (1875-1900). Melbourne University Press, 2000 and eMelbourne. The City Past and Present. www.emelbourne.net.au/ 2 December 2010.",Paterson Brothers ,1,paterson brothers melbourne completed one first interior decoration commissions villa alba kew commission included fabrics valances tiles japanese leather paper furniture local retailer w h rocke co well paterson bros much admired interior painting stencilling scheme paterson brothers melbourne little collins street provided competition british firms active colonies gillow london active melbourne morris company active adelaide smaller decorating firms course well architects individual decorators work wealthier th century colonies melbourne paterson brothers completed one first interior decoration commissions villa alba kew commission included fabrics valances tiles japanese leather paper furniture local retailer w h rocke co well paterson bros much admired interior painting stencilling scheme well known paterson bros commissions included trades hall council chambers c bracknell toorak mansion demolished liberty fabrics painted stencilled wall decorations used tempting suggest retailer w h rocke co also supplied decorating services th century provided early model famed georges department store summary relies andrew montana art movement australia melbourne university press emelbourne city past present www emelbourne net au december,paterson brothers melbourne completed one first interior decoration commissions villa alba kew commission included fabrics valances tiles japanese leather paper furniture local retailer w h rocke co well paterson bros much admired interior painting stencilling scheme paterson brothers melbourne little collins street provided competition british firms active colonies gillow london active melbourne morris company active adelaide smaller decorating firms course well architects individual decorators work wealthier th century colonies melbourne paterson brothers completed one first interior decoration commissions villa alba kew commission included fabrics valances tiles japanese leather paper furniture local retailer w h rocke co well paterson bros much admired interior painting stencilling scheme well known paterson bros commissions included trades hall council chambers c bracknell toorak mansion demolished liberty fabrics painted stencilled wall decorations used tempting suggest retailer w h rocke co also supplied decorating services th century provided early model famed georges department store summary relies andrew montana art movement australia melbourne university press emelbourne city past present www emelbourne net au december,5
"The Wandering Room is an artist collective and Artist Run Initiative consisting of David Creed, Sarah Werkmeister, and Angela Rossitto.Focusing on experimental practice and curatorial challenges, The Wandering Room has occupied space for projects at 99 Melbourne Street, South Brisbane, in the front window of Ryan Renshaw Gallery, and also within a child’s doll house. In 2011 they moved to Grey Street at South Bank. 
This entry is a stub.  You can help out by adding more detail.",The Wandering Room,1,wandering room artist collective artist run initiative consisting david creed sarah werkmeister angela rossitto focusing experimental practice curatorial challenges wandering room occupied space projects melbourne street south brisbane front window ryan renshaw gallery also within child doll house moved grey street south bank entry stub help adding detail,wandering room artist collective artist run initiative consisting david creed sarah werkmeister angela rossitto focusing experimental practice curatorial challenges wandering room occupied space projects melbourne street south brisbane front window ryan renshaw gallery also within child doll house moved grey street south bank entry stub help adding detail,3
"Design studio and manufacturer of homewares and electrical appliances.The homewares design studio was launched in 2003 and creates over 3000 new products a year for a range of brands including Alex Liddy, Mayfair & Jackson, Arcosteel and Baccarat.
Designers in two studios in Botany work with local marketing, sales and engineering staff to create electrical appliances and homewares that are manufactured in Europe and China and sold all over the world.
""We are about products that really work but we also want them to be beautiful objects that people are proud to put on their bench"".- Richard Hoare, Design Director, Breville
This record is a stub. You can help by adding more detail.",Breville,1,design studio manufacturer homewares electrical appliances homewares design studio launched creates new products year range brands including alex liddy mayfair jackson arcosteel baccarat designers two studios botany work local marketing sales engineering staff create electrical appliances homewares manufactured europe china sold world products really work also want beautiful objects people proud put bench richard hoare design director breville record stub help adding detail,design studio manufacturer homewares electrical appliances homewares design studio launched creates new products year range brands including alex liddy mayfair jackson arcosteel baccarat designers two studios botany work local marketing sales engineering staff create electrical appliances homewares manufactured europe china sold world products really work also want beautiful objects people proud put bench richard hoare design director breville record stub help adding detail,3
"Photographers, exhibited in the Centennial International Exhibition, Melbourne, in 1888.photographers. Centennial International Exhibition, Melbourne, 1888: NSW Court - no.428 Channon & Co., 631 George-street, Sydney - Sixteen Argentic Bromide Enlargements (permanent), One Coloured Enlargement; no.429 Channon & Co., 613 George-street, Sydney - Photographic Portrait painted in Oils.
Enlarged Photographs; no.356 Cannon & Co., 631 George-street, Sydney.
*This entry is a stub. You can help DAAO by submitting a biography.",Channon & Co.,1,photographers exhibited centennial international exhibition melbourne photographers centennial international exhibition melbourne nsw court channon co george street sydney sixteen argentic bromide enlargements permanent one coloured enlargement channon co george street sydney photographic portrait painted oils enlarged photographs cannon co george street sydney entry stub help daao submitting biography,photographers exhibited centennial international exhibition melbourne photographers centennial international exhibition melbourne nsw court channon co george street sydney sixteen argentic bromide enlargements permanent one coloured enlargement channon co george street sydney photographic portrait painted oils enlarged photographs cannon co george street sydney entry stub help daao submitting biography,2
"Established by Brian Tunks in 1997, Bison Australia creates handcrafted stoneware pottery.Bison Australia was established by Brian Tunks in 1997. In 2004 the business moved to a factory in Pialligo, ACT. Bison's tableware is handcrafted from stoneware clay. It is sold within Australia and internationally, and has regularly featured in food and wine magazine photography. In 2007 Bison homeware was showcased in the Powerhouse Museum exhibition 'Smart works: design and the handmade'.
This record is a stub. You can help by adding more detail.",Bison Australia,1,established brian tunks bison australia creates handcrafted stoneware pottery bison australia established brian tunks business moved factory pialligo act bison tableware handcrafted stoneware clay sold within australia internationally regularly featured food wine magazine photography bison homeware showcased powerhouse museum exhibition smart works design handmade record stub help adding detail,established brian tunks bison australia creates handcrafted stoneware pottery bison australia established brian tunks business moved factory pialligo act bison tableware handcrafted stoneware clay sold within australia internationally regularly featured food wine magazine photography bison homeware showcased powerhouse museum exhibition smart works design handmade record stub help adding detail,3
"Believed to be a photography firm, listed in Sands Directory of 1878.Listed Sands 1878 – though the listing does not specify their trade. Possibly photographers.",Campbell & Harrison,1,believed photography firm listed sands directory listed sands though listing specify trade possibly photographers,believed photography firm listed sands directory listed sands though listing specify trade possibly photographers,4
"Collaborative group, ""SCAR"". Contemporary zine artists.cartoonists, Antoinette Rydyr and Steve Carter working as 'SCAR'. Their pen and ink Next year's model, commissioned by City Desktop Publishing to be used in advertisement in computer magazines, was included in the ABWAC Awards Exhibition at the SLNSW in 1994 and subsequently donated to the library. Antoinette Rydyr did lettering, additional art and production with Steve Carter, concept and art, and David De Vries, script, A Mission from God, Steve Carter's Comic Nasties Limited Edition, Greenacre, NSW, 1993-98, (original version by Carter and Rydyr published USA in 1993). Michael Hill claims they 'consistently challenge the limits of graphic sex and violence' (IJOCA, Spring 2000, p.126).  This entry is a stub. You can help DAAO by submitting a biography. ","SCAR,",1,collaborative group scar contemporary zine artists cartoonists antoinette rydyr steve carter working scar pen ink next year model commissioned city desktop publishing used advertisement computer magazines included abwac awards exhibition slnsw subsequently donated library antoinette rydyr lettering additional art production steve carter concept art david de vries script mission god steve carter comic nasties limited edition greenacre nsw original version carter rydyr published usa michael hill claims consistently challenge limits graphic sex violence ijoca spring p entry stub help daao submitting biography,collaborative group scar contemporary zine artists cartoonists antoinette rydyr steve carter working scar pen ink next year model commissioned city desktop publishing used advertisement computer magazines included abwac awards exhibition slnsw subsequently donated library antoinette rydyr lettering additional art production steve carter concept art david de vries script mission god steve carter comic nasties limited edition greenacre nsw original version carter rydyr published usa michael hill claims consistently challenge limits graphic sex violence ijoca spring p entry stub help daao submitting biography,3
"Artes Studio began in 1945 and George Korody was initially Artes Studio’s sole designer. In ca. 1950, Dick van Leer joined Artes Studios and their design work was produced by van Leer, Lyndal Evatt and others. They also imported Italian furniture. In 1979 Artes Studio was bought by Kevin Jarrett and 1986, they merged with Arredorama to become Artes Arredorama, today known as Space Furniture.Elsie Segaert (Belgian-born) established Artes Studio in 1945 in her Darling Point flat. George Korody (190?-1957) was a Hungarian-born architect who came to Sydney in 1939-40 and entered a partnership with Elsie Segaert in 1947. Korody was initially Artes Studio’s sole designer.
In ca. 1950, Dick van Leer joined Artes Studios and by 1954 they had moved to 539 George Street. Arnold Coltof also became a partner. Korody died in 1957 but van Leer continued the business, later joined (ca.1969) by Lyndal Evatt who became their chief designer. In 1979 Artes Studio was bought by Kevin Jarrett and 1986, they merged with Arredorama to become Artes Arredorama, today known as Space Furniture.",Artes Studios,1,artes studio began george korody initially artes studio sole designer ca dick van leer joined artes studios design work produced van leer lyndal evatt others also imported italian furniture artes studio bought kevin jarrett merged arredorama become artes arredorama today known space furniture elsie segaert belgian born established artes studio darling point flat george korody hungarian born architect came sydney entered partnership elsie segaert korody initially artes studio sole designer ca dick van leer joined artes studios moved george street arnold coltof also became partner korody died van leer continued business later joined ca lyndal evatt became chief designer artes studio bought kevin jarrett merged arredorama become artes arredorama today known space furniture,artes studio began george korody initially artes studio sole designer ca dick van leer joined artes studios design work produced van leer lyndal evatt others also imported italian furniture artes studio bought kevin jarrett merged arredorama become artes arredorama today known space furniture elsie segaert belgian born established artes studio darling point flat george korody hungarian born architect came sydney entered partnership elsie segaert korody initially artes studio sole designer ca dick van leer joined artes studios moved george street arnold coltof also became partner korody died van leer continued business later joined ca lyndal evatt became chief designer artes studio bought kevin jarrett merged arredorama become artes arredorama today known space furniture,1
.,The Yellow House,1,,,4
