FullName,daao_bios
Harold Abbott,"
Born in Sydney in 1906, Harold Frederick Abbott was a portrait painter and teacher of art by profession. From 1923 he began studying art part time at the Sydney Art School under Julian Ashton and Henry Gibbons. In 1931, after being awarded the NSW Society of Artists Travelling Scholarship, Abbott moved to London where he spent the next two years studying at the Royal Academy, returning to Australia in 1933. Having years of academic training behind him, Abbott became highly accomplished in portraiture and still life studies, as well as genre paintings and in 1940 Abbott won the Sulman Prize for his painting Vaucluse interior . Portraiture was of particular interest to Abbott, and the influence of Old Masters such as Velazquez, Rembrandt, and Goya is evident in the portraits he produced. Of portraits, Abbott wrote in an article in Art in Australia in 1939 “...that welling-up of the unconscious that we call inspiration only appears in a portrait when the artist understands his subject intuitively as well as consciously”. His dedication to depicting his subjects with great honesty and likeness is evident in all of the portraits he produced throughout his career. Characteristics of his style were his simplicity in approach, his awareness of compositional balance, his use of light to create depth and shadow, and his narrative painterly style.
In 1941, Abbott enlisted in the Australian Imperial Force, and in 1943 he was appointed acting lieutenant as a war artist in 2/9 Australian Field Regiment. Abbott spent the next two years serving as an official war artist for Australia, during which time he produced a large body of works documenting scenes and portraits that reflected his experiences and encounters from the Second World War. As a result of his commission, the Australian War Memorial holds 180 of these works in their collection.
Abbott’s skills in genre painting were well suited to his duties as a war artist; he constructed highly balanced scenes with a strong underlying narrative that provided a comprehensive and truthful documentation of Australia’s involvement on the home front, in the Pacific Islands, and in Singapore during the Second World War. On the home front, works such as Main Street , Atherton (AWM collection, ART22293) emphasise the effect that the military presence had on the rural town of Atherton, Queensland – impacting both physically and visually upon the otherwise sedate backdrop. Abbott did not often portray the horrific events of war; rather he focused on those specific elements that formed a part of every soldier’s day to day life. His genre works evoke a sense of calm tranquillity, and provide eyewitness accounts of everyday life at war – ranging from hygiene and recreation, to machinery and repairs, as well as general camp scenes which incorporate the local flora, fauna, and surrounding landscapes. In a marked departure from the relatively calm documentation of daily activities, Abbott produced a highly confronting and dramatic triptych depicting the fall of Singapore and prisoners of war working on the Burma-Thailand railway. In a triptych of suffering ( Defeat, Singapore ; On the Thailand Railway, 1 ; On the Thailand railway [all 1946]) Abbott is no longer concerned with the subtler elements of war and portrays the traumatic and deeply disturbing devastation he witnessed in Singapore. Sombre images of emaciated prisoners of war disintegrating under the weight of hard labour and destruction confront and shock the viewer. Abbott’s natural colour palette is replaced by bold reds and yellows that serve to heighten the dramatic representation of torment and suffering. These works are demonstrative of Abbott’s engagement with emotion and drama – a theme that he again touches upon later in life.
As a war artist Abbott also produced many portraits, each one reflecting his skill in being able to capture an individual with great honesty and likeness. His subjects ranged from high-ranking officials and officers to local natives and Japanese prisoners of war. For all those of whom he made portraits, Abbott endeavoured to collect as much information as possible; he would spend time talking with them and observing their behaviour, consequently producing works of a very sincere and personal nature.
In the 20 years following the war, Abbott did very little painting and exhibiting. He instead applied himself to teaching at the National Art School in Sydney, where he later became the head and State Supervisor of Art. In the late 1960s, when he was in retirement, he resumed painting again – however his style was markedly different. Narrative and figurative works in oils and watercolours gave way to bold abstract compositions in acrylics. Abbott ventured away from much of his academic training towards explorations in form, colour, design, technique, and mood. Starting with the use of bold colours and semi-abstract configurations, his works became increasingly non-figurative, eventually discarding all familiarity in form to develop purely abstract expressions in art. Prior to his death in 1986 in Sydney, Abbott held eight solo exhibitions and his work is held in the collections of the National Gallery of Australia, the Art Gallery of New South Wales, as well as various regional art galleries across Australia.
Assistant Curator, Australian War Memorial


"
Ian Abdulla,"
Ngarrindjeri painter, Ian Abdulla was born in 1947 at Swan Reach, South Australia.
This entry is a stub. You can help the DAAO by submitting a biography.


"
Thelma Afford,"
costume designer and art teacher, was born at Broken Hill in December 1908, daughter of William James Thomas, an engineer, and Ethel, née Henderson. After attending Broken Hill High School, then boarding at Adelaide Presbyterian Girls’ College, she won a scholarship to the SA School of Arts and Crafts. Thelma, an associate member of the Society of Arts, was one of the first five teachers appointed to introduce art into South Australian high schools, teaching at both the School of Arts and Crafts and Adelaide High School. Thelma was deeply involved with the experimental Ab-Intra Studio Theatre in Adelaide, as both costume designer and performer.
Granted a year’s leave of absence from the Education Department, she spent 1934 in Melbourne studying with George Bell and working for Pierre Fornari. Fornari was costume designer for J.C. Williamson’s big musicals; he also had a salon in Collins Street.
As Fornari couldn’t draw it was my job to put his ideas and designs down on paper, not always an easy task. I did the sketches of the Cyril Ritchards-Madge Elliott production of “Roberta”. I learnt a great deal from him, both in actual designing and also in the appreciation of a necessary high standard of workmanship in the making of costumes.
Thelma also did some costume designing on her own behalf for productions at the Garrick and Tivoli theatres and for Melbourne’s centenary Pageant of Nations at the Town Hall. She returned to Adelaide and to teaching in 1935. The following year she was 'lent by the Education Department’ to design the costumes for the official celebrations of South Australia’s centenary. One of these events was the performance of Colonel Light, the Founder , the prize-winning play by Max Afford, whom Thelma was later to marry.
Thelma was invited to Sydney in 1937 in order to commence work on the 1938 Sydney sesquicentenary celebrations, thereby completing a hat-trick of such commissions: Melbourne (1934), Adelaide (1936) and Sydney (1938). The Sydney celebrations – the most lavish of all -took place on 26 January 1938.
In April 1938, Thelma Thomas married Max Afford at St Michael’s, Vaucluse. Both led busy professional lives in Sydney. Max wrote plays for radio and theatre and, later, screenplays; Thelma designed costumes for the Minerva Theatre (e.g. Maeterlinck’s The Blue Bird 1940), Doris Fitton’s Independent Theatre (e.g. The Insect Play 1941), Ken Hall’s Cinesound Films (e.g. Mr Chedworth Steps Out 1939) and for Charles and Elsa Chauvel ( The Sons of Matthew 1947). As well, she designed period costumes for J.C. Williamson’s, was the resident designer for the Minerva Theatre until 1950, and wrote articles for the daily papers and weekly magazines on fashion and theatrical design. She designed the costumes for the very first live dramatic production on Australian television in 1957. In the 1960s Thelma turned again to teaching, being senior art mistress at Queenwood, a private girls’ school at Mosman, until she retired in 1978.
Thelma Afford’s costume designs are held by the Mortlock Library (SA), the Fryer Library (QU), the National Film and Sound Archive (ACT) and the Mitchell Library (NSW). Some of her designs for the 1938 Sydney sesquicentenary procession were exhibited at the Mitchell Library in 1990.


"
Vernon Ah Kee,"
Screen-printer, drawer, photographer, video and text-based artist, Vernon Ah Kee was born in Innisfail in far north Queensland in 1967. He is of the Kuku Yalandji, Yidindji and Gugu Yimithirr peoples of the Innisfail, Cairns, and rainforest regions of North Queensland, the Koko Berrin peoples of Kowanyama in the West Cape region of Queensland, and the Waanji peoples of the North-West Queensland region around Mt Isa.Ah Kee’s artistic training began in 1986 when he enrolled in a screen-printing course at Cairns TAFE. After graduating from TAFE Ah Kee was employed as a screen-printer at Gum Tree Corner – a local printmaking firm where Ah Kee printed t-shirts. The closure of this business in 1990 was the driving force behind Ah Kee’s 1991 move to Brisbane where, in 1996, he enrolled in the previously mentioned Bachelor of Visual Arts at Griffith University, completing this degree in 1998. He continued with his academic study and in 2000 graduated from the same university with a Bachelor of Visual Art with Honours – Fine Art. At the time of writing Ah Kee is a candidate in Doctor of Visual Art (DVA) program at Griffith University.In an interview with Bruce McLean for Artlines (2-2007), Ah Kee states, “I’ve always been able to draw. I noticed I had the ability to draw when I was very young.” As a drawer of oversized portraits of family members both past and present, he sees himself as largely self-taught and although having always been a keen drawer, it was not until the final year (1998) in his Bachelor of Visual Arts (Contemporary Indigenous Australian Art) at Queensland College of Art at Griffith University did Ah Kee begin to seriously view himself as “an artist”. Inspired by Gordon Bennett and Richard Bell's use of text in their works, Ah Kee began experimenting with text as an art medium. He investigated various fonts, layouts and approaches to kerning (the process of removing the space between letters), eventually settling on Universal font which is then printed onto vinyl. In the article “Whitefella Normal” for the Summer 2007 edition of Artist Profile, arts writer and curator, Glenn Barkley describes Ah Kee’s text works as creating “an often brutal frisson in the way they confront and impact upon the audience.” Ah Kee’s text works manipulate both the formal qualities and connotations of particular words to subvert the viewer’s habitual understanding of text and language.Ah Kee’s first solo exhibition, “If I was White” in March 1999 was staged at Metro Arts Building in Brisbane and in 2003 he was invited to participate in Queensland Art Gallery’s exhibition “Storyplace, Indigenous Art of Cape York and the Rainforest”. In November 2004 he showed “fantasies of the good”, his first solo exhibition at Bellas Malani’s new Wooloongabba gallery space (his first Bellas solo show, “non people” was in 2002 when the gallery was located in Fortitude Valley). 2004 also provided Ah Kee with another first when he produced his first video work for ArtTV/2004, which was a joint project between SBS and the Australian Centre for the Moving Image (ACMI) and that shown at ACMI in Melbourne that same year. Together with Richard Bell, Ah Kee came up with the idea of creating a Brisbane-based Aboriginal artists co-operative and in 2004 Ah Kee, Bell and Jennifer Herd co-founded ProppaNow and invited Gordon Hookey, Laurie Nilsen, Bianca Beetson, Andrea Fisher and Tony Albert into its membership. In 2006, during the opening weekend of the 5th Asia-Pacific Triennial of Contemporary Art at the Gallery of Modern Art in Brisbane, ProppaNow presented the group show, “There goes the neighbourhood” at their studios in Brisbane’s West End. Ah Kee submitted his 2006 series of large charcoal portraits of male relatives for inclusion. In an interview with Daniel Browning for Artlines (2-2007) Ah Kee says that these portraits are “an attempt to revision the Aborigine as a beautiful and worthy subject full of depth and complexity.” Browning, in his article, describes Ah Kee as one of the country’s best contemporary draftsmen.In 2007 Ah Kee participated in “Sunshine State, Smart State” at Campbelltown Arts Centre, a show curated by Djon Mundine that included Richard Bell, Fiona Foley, Thanakupi, Ken Thaiday Snr, Tracey Moffat, Judy Watson, Lindy Lee and William Yang. Ah Kee’s work, including portraits and text work, was also included in “Culture Warriors”, the inaugural National Indigenous Art Triennal held at the National Gallery of Australia in 2007/2008 curated by Brenda Croft. Ah Kee’s profile has now attracted international attention with his 2008 series Gaze, which comprises of 12 charcoal drawn portraits on large scale canvasses, selected for inclusion in “Revolution – Forms That Turn”, the 2008 Biennale of Sydney.
References:Barkley, Glenn, (2007), Whitefella Normal, (Place: St. Leonards, NSW : Artist Profile)
Browning, Daniel, (2007), It’s a Black/White Thing: ProppaNow Artists’ Collective, (Place: Queensland Art Gallery, Brisbane, Qld : Artlines)
McLean, Bruce, (2007), Vernon Ah Kee: Family Portraits, (Place: Queensland Art Gallery, Brisbane, Qld : Artlines)
Information sourced from Ah Kee, Vernon, 2008


"
Tony Albert,"
Tony Albert was born in Brisbane in 1981. He is one of the longest serving members of the Brisbane-based artists collective, proppaNOW. His career has focused on the experience of displaced urban Aboriginal people who are alienated by history from their traditional country, language and material culture – that is, the demographic majority of Aboriginal people in Australia. His Campfire – a bar heater, with electrical cord in the Aboriginal colours, is a comedic take on the modern urban Aboriginal experience. The campfire, a gathering place in both traditional and contemporary Aboriginal culture, is still a collective experience where knowledge is shared and exchanged. It is relevant to note that Albert’s father’s country is around Cardwell in north Queensland, the traditional land of the Garimay rainforest people with whom he identifies. His family relationships extend further, to Palm Island off the Queensland city of Townsville. Albert was among the first to graduate with a degree in Contemporary Australian Indigenous Art from the Queensland College of Art (QCA) in 2004. Australian Art Collector magazine has named Albert as one of the country’s most collectable artists several times. Albert toys repetitively with popular culture and the representation of Aboriginal people within it. His most recent work recycles genuine Aboriginalia, including kitsch, mass-produced objects such as plaster heads and black velvet paintings. He alters the context in which these objects are understood – most dramatically in his installation work Headhunter, which was purchased by the Art Gallery of New South Wales in 2007. The point he makes is that Aboriginal people’s bodies, literally and metaphorically, are hunted down and commodified. He has since embarked on a shield-making project with members of his family in Cardwell. He was preselected for the Telstra National Aboriginal and Torres Strait Islander Art Award in 2006 and 2007 and his work was consequently hung in the exhibition at the Museum and Art Gallery of the Northern Territory (MAGNT) alongside that of many of his peers, including his acknowledged mentor Richard Bell . In 2007 Albert was the recipient of the $15,000 acquisitive Sunshine Coast Art Prize for his photographic series Gangsta Supastar , in which he acts out the role of 50perCENT, an identifiably Aboriginal hip hop artist/gangsta whose posse includes such imaginary personas as Lil Gin, Murri J Blige and Notorious B.E.L.L.Major group exhibitions include: 'The Visitors’, Penrith Regional Gallery (2007); the 2007 Arc Biennial, QUT Art Museum; 'The Revenge of Genres’, Les Brasseurs in Liege Belgium and Cité International des Arts, Paris (2007); the 23rd and 24th Telstra National Aboriginal & Torres Strait Island Art Award, MAGNT (2006 & 2007) and 'Thresholds of Tolerance’, Australian National University, Canberra in 2007. His work has been collected by the National Museum of Australia, Caloundra Regional Art Gallery, the Art Gallery of New South Wales and Griffith Artworks, Brisbane.


"
Douglas Annand,"
Born in Toowoomba in 1903, Douglas Annand was a highly accomplished graphic designer, textile designer, muralist and sculptor. Having grown up in Brisbane, where he attended night classes at Brisbane Central Technical College, Annand moved to Sydney in 1930. In Sydney, Annand became highly successful as a freelance designer; his work included the development of corporate images for such well-known Australian companies as Union Oil, Farmer’s and David Jones, as well as designs for The Home magazine and the Australian National Travel Association [see NGA 2001 exhibition catalogue]. His design for the ceiling of the Australian pavilion at the 1937 Paris Exposition, along with his role as art director for the Australian Pavilion at the 1939 New York World’s Fair, gained Annand international recognition and brought Australia to the forefront of international design.
In anticipation of the Second World War, during the late 1930s Annand became involved in a camouflage group formed by zoology Professor William Dakin in response to the severe lack of camouflage and concealment strategies specific to the Australian environment. With members including Frank Hinder, Robert Emerson-Curtis, Sydney Ure Smith , Russel Roberts and Professor Leslie Wilkinson, the group dedicated itself to exploring issues of concealment and developing new techniques for camouflage in Australia, independent of any Government support. At the outbreak of war, the group became the foundation of the Camouflage Committee, which was formed by the Ministry of Home Security. Annand’s background in design, together with his strong interest in nature made him the perfect candidate for the role of a camouflage artist, and from 1941-1944 he was employed by the Royal Australian Air Force as a camouflage officer. During his years of service, Annand produced a large body of works documenting aerial surveillance of coastlines and islands off the Queensland coast. Through his attention to detail and understanding of colour and landscapes Annand provided a significant contribution to Australian camouflage research.
Following the war, Annand went back to his work as a freelance designer, whilst simultaneously expanding his range of skills and knowledge in a variety of new media. He produced textile designs, sculptures, murals, mixed media designs, and later became interested in architectural design and glass structures. Throughout his life, Annand illustrated a perpetual passion for all aspects of art and design, and this did not go unnoticed. Prior to his death in 1976 Annand won the Sulman prize three times, and his posters received prizes in Adelaide and Milan. The Australian War Memorial holds 72 of the studies and watercolours he completed during his work as a camouflage artist.
The Powerhouse Museum collection includes two Douglas Annand design archives, which are a valuable record of the design and architectural activity occurring in Sydney and Australia between the 1930s and 1970s. The first archive consists of material taken from Annand’s studio in Killara after he passed away. It includes ideas, sketches and exhibition catalogues, Annand’s designs for national and international architectural murals, posters and textiles, and objects relating to architectural commissions which Annand undertook during the 1950s and 60s.
The second archive includes material such as catalogues, notebooks, sketches and drawings, photographs, posters and correspondence relating to most of the projects Annand undertook during his career. The collection also includes artworks, sculptures, and textile, metal and glass objects.
The National Gallery of Australia in Canberra also holds a collection of Annand’s art-related material.
Addendum from Eye magazineDouglas Annand (1903-1976) was part of an Australian graphic design tradition concerned more with art and aesthetics than commercialisation. Unlike most of his colleagues, he chose not to work overseas and instead set new standards for Australian designers, creating images that were international in their philosophy, yet typically Australian. He was also a watercolourist, a textile designer, a muralist and a sculptor of originality and style. In 1937 Annand was commissioned to design the brochure and ceiling mural for the Australian Pavilion at the Paris Exposition designed unsuccessfully by architects Stephenson & Turner. In 1939 he was made design director for the Australian Pavilion at the New York World’s Fair, this time supervising Stephenson & Turner. This widely admired design was featured in Australian Art Annual 1939 and the Architectural Review selected it in its Special New York World’s Fair issue. He was rewarded in 1940 with a bronze medal from the Australian Commercial and Industrial Artists’ Association. In 2003, Melbourne’s Heide Museum and Gallery staged a retrospective exhibition of his work.Source—www.eyemagazine.com/feature.php?id=77&fid=439


"
Michael Anning,"
Ydinji carver and painter Michael Anning, also known as Boiyool, was born in North Queensland in 1955. His work, shields, swords and sculptural carvings are greatly influenced by the traditional styles and media of his people. Carvings and the use of natural pigments and charcoal have been a fascination for him since the age of 13.
Anning’s carvings and sculptures were featured in the “Gatherings and Gatherings II, Aboriginal and Torres Strait Islander Art of Queensland Australia” in 2001 and 2006 respectively. In 1998 Anning won the the Wandjuk Marika Memorial 3 Dimensional Award at the Telstra National Aboriginal and Torres Strait Islander Art Awards at the Museum and Art Gallery of the Northern Territory (MAGNT) with his sculptural piece “Dulgubarra, Rainforest Dwellers”. This work was selected for MAGNT’s 20th anniversary national touring exhibition, “Telstra National Aboriginal & Torres Strait Islander Art Award: Celebrating 20 Years” in 2004 – 2005.
In the catalogue of the first “Gatherings” exhibition Annings states that he hopes to “create a broader view of all rainforest tribal culture to remember my grandparents and other elders who, as children, once lived and roamed beneath the dark green canopy known today as the Wet Tropics.”
This entry is a stub. You can help the DAAO by submitting a biography.


"
Howard Arkley,"
Howard Arkley a painter, photographer and sculptor was born in Melbourne in 1951. A visit to the National Gallery of Victoria’s 1967 'Sidney Nolan Retrospective Exhibition, Paintings from 1937 to 1967’ inspired him to immediately take up painting. Arkley undertook his formal studies at Prahan College of Advanced Education and completed his Diploma of Art and Design in 1975. In this early period he utilised the airbrush as his principal working tool. His first solo exhibition was held at Tolarno Galleries in Melbourne in 1975. This exhibition was titled 'White Paintings’ and it featured Arkley’s abstract and monochrome works.
In 1977, Arkley was the recipient of the Alliance Française Art Fellowship, the Visual Arts Board residency in Paris and the Green Street Studio residency in New York. Whilst abroad, he developed his signature spontaneous and obsessive working style, returning to Australia with a new perspective on Australia’s national context. Arkley began to introduce colour and figuration, focusing on everyday suburban themes and iconography. Beginning with his collection of flyscreens, his work reflected notions of domesticity (feminism), mass production (popular culture), surface (minimalism), pattern, order and reproduction, using and reusing his collected bank of images and iconography. He was heavily involved in the local punk scene and in 1981 admitted its influence in his frenetic work titled Primitive, which, as the artist states, “set off my career” (Arkley in Crawford and Edgar, 2001, p. 48). His work took a new direction. The automatic nature of Primitive reflected his personal life; embedded with his collected and reused iconography it led him toward portraits and his tattooed 'Urban Tribalism’ series.
1983’s Suburban Interior marked Arkley’s entrance to the interior suburban space. The use of wallpaper as a surface for decoration and scenes of 'home life’ reflected his increasing interest in domestic themes and was followed by streetscapes, homes with gardens, high rise apartments and home décor which he saw as popular imagery to address. By 1988, all of Arkley’s work was focused on suburban themes. He made his professional and commercial breakthrough, reconfiguring Australian suburbs as landscapes. He returned to portraits in 1990 with Tolarno Galleries’ 'The Head Show’, which he saw as self portraits “wearing masks and hiding identities” (Trioli, 1990). Arkley also began his collaboration with Juan Davila in Blue Chip Instant Decorator. This successful partnership resulted in the merging of painting, installation and constructed furnishing and further developed Arkley’s style and confidence.
Mix 'n’ Match of 1992 was inspired by home decorating magazines Home Beautiful and Better Homes and Gardens . Arkley reduced his form to stylised images, paying increasing attention to details (pictures on walls, books on shelves). 'The Pointillist Suburb’ series followed in 1994 and he finally felt he had connected with his audience.
Tolarno Galleries’ ’20 Year Review’ (1995) and the 'Fabricated Room’ (1997) series preceded Arkley’s selection as Australia’s representative at the 48th Venice Biennale (1999). 'The Home Show’ had a critical and popular success resulting in offers of exhibitions in Paris and London.
Shortly after his returning to Melbourne from the Biennale Arkley died of a heroin overdose. Since his death Arkley’s work continues to be exhibited and is highly regarded as serious studies of Australian suburban landscape.


"
John Armstrong,"
This entry is a stub. Please add to it if you are able.


"
David Aspden,"
This record is a stub. You can help out by adding more detail.


"
