Event,Start,End,Country,Person,Dataset,Type
"Poppy, Lyric Theatre (1997-2011), Pyrmont, NSW",1992,1992,Australia,George Gittoes,AusStage,Event
"Poppy, Opera Theatre (Sydney Opera House), Sydney, NSW",1991,1991,Australia,George Gittoes,AusStage,Event
"Contemporary Music & Media Forum, The Performance Space (1983-2007), Redfern, NSW",1984,1984,Australia,George Gittoes,AusStage,Event
"Poppy, Regent Theatre, Sydney, NSW",1981,1981,Australia,George Gittoes,AusStage,Event
"George Gittoes, [George Gittoes' puppetry and mime] , University of New England, Stage on Screen Collection",1971,1971,Australia,George Gittoes,AusStage,Event
"Sydney, NSW",1949,1949,Australia,George Gittoes,DAAO,Birth date
"Rockdale, NSW",1949,1965,Australia,George Gittoes,DAAO,Residence
"Bardwell Park, NSW",1966,1971,Australia,George Gittoes,DAAO,Residence
"Bundeena, NSW",1972,2008,Australia,George Gittoes,DAAO,Residence
"Surry Hills, NSW",2008,2009,Australia,George Gittoes,DAAO,Residence
"Berlin, Germany",2009,2009,Germany,George Gittoes,DAAO,Residence
"University of Sydney, NSW",1968,1968,Australia,George Gittoes,DAAO,Training
"Art Students' League New York, USA",1969,1969,USA,George Gittoes,DAAO,Training
"The Yellow House, Sydney, NSW",1970,1971,Australia,George Gittoes,DAAO,Training
"Honorary Doctor of Letters, UNSW",2008,2008,Australia,George Gittoes,DAAO,Recognition
Centernary Medal,2001,2001,Australia,George Gittoes,DAAO,Recognition
Order of Australia (AM),1997,1997,Australia,George Gittoes,DAAO,Recognition
Winner of Blake Prize,1992,1992,Australia,George Gittoes,DAAO,Recognition
Winner of Blake Prize,1995,1995,Australia,George Gittoes,DAAO,Recognition
Winner of Wynne Prize,1993,1993,Australia,George Gittoes,DAAO,Recognition
"Realism of peace: George Gittoes, Museums and Art Galleries of the Northern Territory, Darwin, NT",1995,1995,Australia,George Gittoes,DAAO,Recognition
"In the picture: creative Australians from the National Library's portrait collection, National Portrait Gallery, Canberra, ACT",1995,1996,Australia,George Gittoes,DAAO,Exhibitions
"Heavy industry, Wollongong City Gallery, Wollongong, NSW",1992,1992,Australia,George Gittoes,DAAO,Exhibitions
"The Yellow House, Art Gallery of New South Wales, Sydney, NSW",1990,1990,Australia,George Gittoes,DAAO,Exhibitions
"George Gittoes: artists in residence, Wollongong City Gallery, Wollongong, NSW",1989,1989,Australia,George Gittoes,DAAO,Exhibitions
"George Gittoes, Newcastle Region Art Gallery, Newcastle, NSW",1989,1989,Australia,George Gittoes,DAAO,Exhibitions
