date_range.date_end.year,date_range.date_end.month,date_range.date_end.day,date_range.date_start.year,date_range.date_start.month,date_range.date_start.day,place.address.ori_address,place.address.country,place.address.state,place.address.city,place.address.postcode,place.ori_dbid.$oid,place.ori_address,place._class_ori,place._class,place.geo_coord.latitude,place.geo_coord.longitude,name,event_id,place.ori_name,place.ori_country,place.display_name,place.address.suburb
2002,1,1,2002,1,1,"Flinders University Art Museum, Adelaide, South Australia",Australia,South Australia,Adelaide,5000,4da1b4cdb538b73d9301eb4e,"Flinders University Art Museum, Adelaide, SA",place,place,-34.9286212,138.5999594,"""Ian Abdulla""",513fc65fd707ff6bcd00082c,,,,
2009,12,4,2009,10,19,"Tandanya National Aboriginal Cultural Institute, Adelaide, South Australia",Australia,South Australia,Adelaide,5000,4da194f7b538b73d930006f4,"Tandanya National Aboriginal Cultural Institute, Adelaide, SA",place,place,-34.923886,138.6104632,"""Ian Abdulla""",4da1dd69b538b73d93028e1c,,,,
1993,1,1,1993,1,1,"Contemporary Art Centre of South Australia, Adelaide, South Australia",Australia,South Australia,Adelaide,5000,4da1b1d4b538b73d9301e16a,"Contemporary Art Centre of South Australia, Adelaide, SA",place,place,-34.9286212,138.5999594,"""Ian Abdulla""",513fcdc5d707ff6bcd00125c,,,,
2015,2,7,2014,12,5,"Lion Arts Centre, North Tce [West End] Adelaide South Australia",Australia,South Australia,Adelaide,5000,551a64f9d707ff270600000a,"Lion Arts Centre, North Tce [West End] Adelaide South Australia",place,place,-34.92932330000001,138.5879438,"""Ian Abdulla""",55878ad6d707ff5db7000004,Australian Experimental Art Foundation,Australia,Australian Experimental Art Foundation,
2000,1,1,2000,1,1,Adelaide Biennial of Australian Art,Australia,South Australia,Adelaide,5000,4da1e201b538b73d93029d8c,Adelaide Biennial of Australian Art,place,place,-34.9286212,138.5999594,"""Ian Abdulla""",4da1e201b538b73d93029d8d,,,,
2000,1,1,2000,1,1,"Boomalli Aboriginal Artist Cooperative, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da194fab538b73d93000860,"Boomalli Aboriginal Artist Cooperative, Sydney, NSW",place,place,-33.8689009,151.2070914,"""Margaret Adams""",4da19636b538b73d930077a2,,,,
2005,1,1,2005,1,1,"Fountain Court, New South Wales Parliament House, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da194fab538b73d9300085e,"Fountain Court, NSW Parliament House, Sydney, NSW",place,place,-33.8689009,151.2070914,"""Margaret Adams""",4da194fab538b73d9300085f,,,,
2005,1,1,2005,1,1,"Florence, Italy",Italy,Tuscany,Florence,50122,4da19504b538b73d93000e87,"Florence, Italy",place,place,43.7687324,11.2569013,"""Terrence Allen""",4da19504b538b73d93000e88,,,,
2005,1,1,2005,1,1,"New South Wales Parliament House, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19504b538b73d93000e8b,"NSW Parliament House, Sydney, NSW",place,place,-33.8673829,151.2128852,"""Terrence Allen""",4da1afabb538b73d9301d86d,,,,
2002,1,1,2002,1,1,"Epicentre Art Space, Byron Bay, New South Wales",Australia,New South Wales,Byron Bay,2481,4da19504b538b73d93000e81,"Epicentre Art Space, Byron Bay, NSW",place,place,-28.6441616,153.6123788,"""Terrence Allen""",4da19504b538b73d93000e82,,,,
2005,1,1,2005,1,1,"TAP Gallery, Darlinghurst, Sydney, New South Wales",Australia,New South Wales,Sydney,2010,4da19504b538b73d93000e85,"TAP Gallery, Darlinghurst, Sydney, NSW",place,place,-33.8806799,151.2186198,"""Terrence Allen""",4da19504b538b73d93000e86,,,,Darlinghurst
2004,1,1,2004,1,1,"Adelaide Fringe Festival, Adelaide, South Australia",Australia,South Australia,Adelaide,5000,4da19504b538b73d93000e89,"Adelaide Fringe Festival, Adelaide, SA",place,place,-34.9286212,138.5999594,"""Terrence Allen""",4da19504b538b73d93000e8a,,,,
2006,1,1,2006,1,1,"New South Wales Parliament House, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da19504b538b73d93000e8b,"NSW Parliament House, Sydney, NSW",place,place,-33.8673829,151.2128852,"""Terrence Allen""",4da19504b538b73d93000e8c,,,,
2004,1,1,2004,1,1,"Tamworth Showground, Tamworth, New South Wales",Australia,New South Wales,Tamworth,2340,4da19504b538b73d93000e83,"Tamworth Showground, Tamworth, NSW",place,place,-31.0936806,150.9051344,"""Terrence Allen""",4da19504b538b73d93000e84,,,,
