address_prompt,location,point,latitude2,longitude2,altitude2
"Roerich Museum, New York, USA","Nicholas Roerich Museum, 319, West 107th Street, Bloomingdale, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10025, United States","(40.80292405, -73.96901260422199, 0.0)",40.80292405,-73.96901260422199,0.0
"NSW Parliament House, Sydney, NSW","Parliament of New South Wales, Macquarie Street, Quay Quarter, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia","(-33.867265200000006, 151.21301147249176, 0.0)",-33.867265200000006,151.21301147249176,0.0
"Old Parliament House, Canberra, ACT","Old Parliament House, 18, King George Terrace, Parkes, Canberra, District of Canberra Central, Australian Capital Territory, 2600, Australia","(-35.30235195, 149.13001764632077, 0.0)",-35.30235195,149.13001764632077,0.0
"Melbourne, Vic.","Melbourne, City of Melbourne, Victoria, Australia","(-37.8142176, 144.9631608, 0.0)",-37.8142176,144.9631608,0.0
NSW,"New South Wales, Australia","(-31.8759835, 147.2869493, 0.0)",-31.8759835,147.2869493,0.0
"National Gallery of Art, Warsaw, Poland",,,,,
"djamu Gallery: The Australian Museum, Customs House, Sydney, NSW",,,,,
"Royal Albert Memorial Museum, Exeter, England, UK","Royal Albert Memorial Museum, Queen Street, St Thomas, Exeter, Devon, England, EX4 3RX, United Kingdom","(50.7252296, -3.5320841137517647, 0.0)",50.7252296,-3.5320841137517647,0.0
"Venice Biennale, Venice, Italy","Home Venice Apartments - Biennale, 1044, Calle de le Ancore, Castello, Venezia-Murano-Burano, Lido, Venezia, Veneto, 30122, Italia","(45.4314612, 12.3561868, 0.0)",45.4314612,12.3561868,0.0
"Museums and Art Galleries of the Northern Territory, Darwin, NT",,,,,
"Old Parliament House / National Museum of Australia, Canberra, ACT",,,,,
"Brisbane, QLD","Brisbane City, Queensland, Australia","(-27.4689682, 153.0234991, 0.0)",-27.4689682,153.0234991,0.0
"Sydney, NSW","Sydney, Council of the City of Sydney, New South Wales, Australia","(-33.8698439, 151.2082848, 0.0)",-33.8698439,151.2082848,0.0
"Art Gallery of New South Wales, Sydney, NSW","Art Gallery of New South Wales, Sir John Young Crescent, Quay Quarter, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia","(-33.86882365, 151.21727034707598, 0.0)",-33.86882365,151.21727034707598,0.0
"Brisbane, Qld.","Brisbane City, Queensland, Australia","(-27.4689682, 153.0234991, 0.0)",-27.4689682,153.0234991,0.0
"Old Town Hall Studio, Queen Street, Brisbane, QLD",,,,,
"Victorian Artists' Society Gallery, Melbourne, Vic.",,,,,
"Athenaeum Art Gallery, Melbourne, Vic.",,,,,
"Gallery Gabrielle Pizzi, Melbourne, Vic.",,,,,
"Artspace, Sydney, NSW","Artspace, Cowper Wharf Roadway, Woolloomooloo, Sydney, Council of the City of Sydney, New South Wales, 2011, Australia","(-33.8694899, 151.2206907, 0.0)",-33.8694899,151.2206907,0.0
"Performance Space, Sydney, NSW",,,,,
"Framed Gallery, Darwin, NT",,,,,
"Tandanya National Aboriginal Cultural Institute, Adelaide, SA","Tandanya National Aboriginal Cultural Institute, Grenfell Street, Adelaide, Adelaide City Council, South Australia, 5000, Australia","(-34.9239878, 138.6104338, 0.0)",-34.9239878,138.6104338,0.0
"Global Arts Link, Ipswich, Qld.",,,,,
"Parliament of NSW, Sydney, NSW","Parliament of New South Wales, Macquarie Street, Quay Quarter, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia","(-33.867265200000006, 151.21301147249176, 0.0)",-33.867265200000006,151.21301147249176,0.0
"Tamworth Regional Gallery, Tamworth, NSW",,,,,
Perth Craft West Centre,,,,,
"Cairns Regional Art Gallery, Cairns, QLD",,,,,
"Art Gallery of South Australia, Adelaide, SA","Art Gallery of South Australia, Western Drive, Adelaide, Adelaide City Council, South Australia, 5000, Australia","(-34.920630700000004, 138.60396883837132, 0.0)",-34.920630700000004,138.60396883837132,0.0
"Fremantle, WA","Fremantle, City of Fremantle, Western Australia, Australia","(-32.0534086, 115.7586172, 0.0)",-32.0534086,115.7586172,0.0
"Rosalind Humphries Galleries, Melbourne, Vic.",,,,,
"Athanaeum Gallery, Melbourne, Vic.",,,,,
"National Museum of Victoria, Melbourne, Vic.",,,,,
"Burlington House, Piccadilly, London, England, UK","Royal Academy of Arts, Piccadilly, St. James's, Mayfair, London, Greater London, England, W1J 0BD, United Kingdom","(51.5092768, -0.13973813543557267, 0.0)",51.5092768,-0.13973813543557267,0.0
"Cowra Regional Gallery, Cowra, NSW",,,,,
"Moree Plains Gallery, Moree, NSW",,,,,
"Au Printemps Department Store, Paris, France",,,,,
"Birrung Gallery, Leichhardt, NSW",,,,,
"Brisbane, Qld","Brisbane City, Queensland, Australia","(-27.4689682, 153.0234991, 0.0)",-27.4689682,153.0234991,0.0
"Toowoomba, Qld","Toowoomba, Queensland, 4350, Australia","(-27.5610193, 151.953351, 0.0)",-27.5610193,151.953351,0.0
"Australian War Memorial, Canberra, ACT","Australian War Memorial, Treloar Crescent, Campbell, Canberra, District of Canberra Central, Australian Capital Territory, 2612, Australia","(-35.28059825, 149.14932371073422, 0.0)",-35.28059825,149.14932371073422,0.0
Venice,"Venezia, Veneto, Italia","(45.4371908, 12.3345898, 0.0)",45.4371908,12.3345898,0.0
"National Gallery of Victoria, Melbourne, VIC","National Gallery of Victoria (NGV International), 180, St Kilda Road, Melbourne, City of Melbourne, Victoria, 3000, Australia","(-37.82266345, 144.96892412239615, 0.0)",-37.82266345,144.96892412239615,0.0
"Swan Hill Regional Art Gallery, Swan Hill, VIC","Swan Hill Regional Art Gallery, Marraboor Street, Swan Hill, Rural City of Swan Hill, Victoria, 3585, Australia","(-35.34934785, 143.56472375650952, 0.0)",-35.34934785,143.56472375650952,0.0
"Annandale Galleries, Sydney, NSW; Orange Regional Gallery, Orange, NSW",,,,,
"Prahran College of Fine Arts, Melbourne, VIC",,,,,
"Milani Gallery, Brisbane, QLD","Milani Gallery, 270, Montague Road, West End, Greater Brisbane, Queensland, 4101, Australia","(-27.4789235, 153.0063283, 0.0)",-27.4789235,153.0063283,0.0
"Sutton Gallery, Melbourne, VIC","Sutton Gallery, 254, Brunswick Street, Fitzroy, Melbourne, City of Yarra, Victoria, 3065, Australia","(-37.7997624, 144.9784129, 0.0)",-37.7997624,144.9784129,0.0
"Dhaka, Bangladesh; Customs House, Sydney, NSW; Bellas Gallery, Brisbane, QLD",,,,,
"Hue, Vietnam","Thành phố Huế, Tỉnh Thừa Thiên Huế, 54000, Việt Nam","(16.4639321, 107.5863388, 0.0)",16.4639321,107.5863388,0.0
"[various locations], Los Angeles, USA","USA, Baldwin Avenue, Rosemead Trailer Park, El Monte, Los Angeles County, California, 91731, United States","(34.0745997, -118.0534304, 0.0)",34.0745997,-118.0534304,0.0
"Art Projects, Melbourne, VIC",,,,,
"Araluen Arts Centre, Alice Springs, NT",,,,,
"Hobart, Tasmania","Hobart, City of Hobart, Tasmania, Australia","(-42.8825088, 147.3281233, 0.0)",-42.8825088,147.3281233,0.0
"Mitchell Library, State Libray of New South Wales, Sydney, NSW",,,,,
"National Gallery of Australia, Canberra, ACT","National Gallery of Australia, Bowen Place, Parkes, Canberra, District of Canberra Central, Australian Capital Territory, 2600, Australia","(-35.3008452, 149.13668506334574, 0.0)",-35.3008452,149.13668506334574,0.0
"Flinders University Art Museum, Adelaide, South Australia",,,,,
"Malvern Fine Art Gallery, Melbourne, Vic.",,,,,
"Strait Artworks Gallery, Whitemark, Flinders Island & Cultural Centre, Currie Harbour, King Island, Tas",,,,,
"Chris Deutscher Gallery Melbourne, VIC",,,,,
"Brisbane, Queensland","Brisbane City, Queensland, Australia","(-27.4689682, 153.0234991, 0.0)",-27.4689682,153.0234991,0.0
"NSW Government House, Sydney, NSW","Towlers Bay Cottage, Bona Crescent, Morning Bay, Northern Beaches, Sydney, Northern Beaches Council, New South Wales, 2105, Australia","(-33.62266645, 151.28248568846152, 0.0)",-33.62266645,151.28248568846152,0.0
"Michael Wardell's 13 Verity Street Gallery, Melbourne, Vic.",,,,,
"Mori Annexe, Sydney, NSW",,,,,
"Education Department's Art Gallery, Sydney, NSW",,,,,
"California, USA","California, United States","(36.7014631, -118.755997, 0.0)",36.7014631,-118.755997,0.0
"Bunker Gallery, Coffs Harbour, NSW","Bunker Cartoon Gallery, John Champion Way, Coffs Harbour, Coffs Harbour City Council, New South Wales, 2450, Australia","(-30.3049625, 153.1211758, 0.0)",-30.3049625,153.1211758,0.0
"fireworksgallery, Newstead, QLD",,,,,
"Melbourne, Vic","Melbourne, City of Melbourne, Victoria, Australia","(-37.8142176, 144.9631608, 0.0)",-37.8142176,144.9631608,0.0
"Holdsworth Galleries, Paddington, NSW",,,,,
