venue_name,venue_category_minor,venue_category_major,still_exists
"282 Petrie Terrace, Brisbane QLD",ARI or Independent,ARI or Indpendent ,Y
"321 Blaxland Rd Wentworth Falls, Sydney",ARI or Independent,ARI or Indpendent ,N
"8 Llankelly Place, Kings Cross, Sydney, 2011",ARI or Independent,ARI or Indpendent ,Y
"Access Contemporary Art Gallery, Sydney, NSW",Commercial,Commercial,N
"Ace of Clubs Hall, Redcliffe, QLD",Art Society,ARI or Indpendent ,N
"Adelaide Central Gallery, Adelaide, SA",University Gallery,University Gallery,Y
"Albury Regional Art Centre, Albury, NSW",Local Government and/or Regional Gallery,Government / Public Museum ,Y
"Alcaston Gallery, Melbourne, VIC",Commercial,Commercial,Y
"Anna Schwartz Gallery, Melbourne, Vic.",Commercial,Commercial,Y
"Annandale Galleries, Sydney, NSW",Commercial,Commercial,Y
"ARC One Gallery, Melbourne, Vic.",Commercial,Commercial,Y
"Art Gallery of New South Wales, Sydney, NSW",State Gallery / Library,Government / Public Museum ,Y
"Art Gallery of South Australia, Adelaide, SA",State Gallery / Library,Government / Public Museum ,Y
"Art Gallery of Western Australia, Perth, WA",State Gallery / Library,Government / Public Museum ,Y
"Artspace, Sydney, NSW",CAOA,ARI or Indpendent ,Y
"Australian Centre for Contemporary Art, Melbourne, VIC",CAOA,ARI or Indpendent ,Y
"Australian Centre for Photography, Sydney, NSW",ARI or Independent,ARI or Indpendent ,N
"Ballarat Fine Art Gallery, Ballarat, VIC",Local Government and/or Regional Gallery,Government / Public Museum ,Y
"Bathurst Regional Art Gallery, Bathurst, NSW",Local Government and/or Regional Gallery,Government / Public Museum ,Y
"Beaver Galleries, Canberra, ACT",Commercial,Commercial,Y
"Bender's Lane, 144 Charles Street, Launceston, Tasmania",Commercial,Commercial,N
"Bendigo Art Gallery, Bendigo, VIC",Local Government and/or Regional Gallery,Government / Public Museum ,Y
"Bett Gallery, Hobart, Tas.",Commercial,Commercial,Y
"Blaxland Gallery, Sydney, NSW",Commercial,Commercial,N
"Boomalli Aboriginal Artists Cooperative, Sydney, NSW",Commercial,Commercial,Y
"Brisbane City Art Gallery, Brisbane, Qld",City Gallery / Museum,Government / Public Museum ,Y
"Bunbury Regional Art Galleries, Bunbury, WA",Local Government and/or Regional Gallery,Government / Public Museum ,Y
"Campbelltown City Art Gallery, Campbelltown, NSW",Local Government and/or Regional Gallery,Government / Public Museum ,Y
"Canberra Contemporary Art Space, Canberra, ACT",CAOA,ARI or Indpendent ,Y
"Casula Powerhouse Arts Centre, Casula, NSW",Local Government and/or Regional Gallery,Government / Public Museum ,Y
"Central Street Gallery, Sydney, NSW",Commercial,Commercial,N
"Centre for Contemporary Photography, Melbourne, VIC",ARI or Independent,ARI or Indpendent ,Y
"Chalk Horse Gallery, Surry Hills, NSW",Commercial,Commercial,Y
"Charles Nodrum Gallery, Melbourne, VIC",Commercial,Commercial,Y
"Christine Abrahams Gallery, Melbourne, VIC",Commercial,Commercial,N
"Contemporary Art Centre of South Australia, Adelaide, SA",CAOA,ARI or Indpendent ,N
"Corner Brisbane and Tamar Streets, Launceston, TAS",State Design Institutite,Government / Public Museum ,Y
"Coventry Gallery, Sydney, NSW",Commercial,Commercial,N
