Year_Financial,AUS_GDP_Current_Millions,AUS_GDP_Real_2015-16_Millions,AUS_GDP_Real_2015-16_Percentage,AUS_Terms of trade Index set to 2015-16,AUS_Terms of trade percentage set to 2015-16,AUS_Unemployment rate,Brisbane_Index,Brisbane_YoY_change,Weighted average of eight capital cities_Index,Weighted average of eight capital cities_YoY_change,QLD_BuildingsApproved_Residential houses_Value_Millions,QLD_BuildingsApproved_Other residential_Value_Millions,"QLD_BuildingsApproved_Alterations, additions and conversions_Value_Millions",QLD_BuildingsApproved_Total residential_Value_Millions,QLD_BuildingsApproved_Non-residential_Value_Millions,QLD_BuildingsApproved_Total_Value_Millions,QLD_Net overseas migration
1900-01,419,47114,,79.8,,3.9,,,,,,,,,,,
1901-02,444,51885,10.1,86.4,8.3,4.8,,,,,,,,,,,
1902-03,428,48490,-6.5,94.6,9.4,8.5,,,,,,,,,,,
1903-04,448,54039,11.4,95.7,1.2,9.4,,,,,,,,,,,
1904-05,444,53126,-1.7,100.7,5.3,8.6,,,,,,,,,,,
1905-06,479,55534,4.5,99.1,-1.5,6.6,,,,,,,,,,,
1906-07,538,63357,14.1,97.9,-1.3,5.2,,,,,,,,,,,
1907-08,536,58511,-7.6,94.7,-3.2,3.4,,,,,,,,,,,
1908-09,573,60784,3.9,94.6,-0.1,3.3,,,,,,,,,,,
1909-10,623,64269,5.7,95,0.4,3.3,,,,,,,,,,,
1910-11,684,70072,9,91.1,-4.1,2.9,,,,,,,,,,,
1911-12,734,69040,-1.5,91.5,0.5,2.4,,,,,,,,,,,
1912-13,802,75920,10,93.4,2,5,,,,,,,,,,,
1913-14,864,76459,0.7,91.7,-1.8,3.3,,,,,,,,,,,
1914-15,838,67380,-11.9,92.6,1.1,5.9,,,,,,,,,,,
1915-16,969,75098,11.5,91.6,-1.1,3.5,,,,,,,,,,,
1916-17,1022,72794,-3.1,90,-1.8,3.3,,,,,,,,,,,
1917-18,1062,71553,-1.7,83.9,-6.8,3.4,,,,,,,,,,,
1918-19,1145,73183,2.3,72.1,-14.1,3.6,,,,,,,,,,,
1919-20,1253,69160,-5.5,70.4,-2.3,3.4,,,,,,,,,,,
1920-21,1382,78597,13.6,60.6,-13.9,5.8,,,,,,,,,,,
1921-22,1378,82770,5.3,57.6,-5,6.1,,,,,,,,,,,
1922-23,1510,85552,3.4,83.1,44.1,5,,,,,,,,,,,
1923-24,1569,88888,3.9,112.8,35.8,4.7,,,,,,,,,,,
1924-25,1722,94691,6.5,131.5,16.6,6.3,,,,,,,,,,,
1925-26,1659,91894,-3,95.4,-27.5,4.9,,,,,,,,,,,
1926-27,1729,95783,4.2,95.8,0.4,4.2,,,,,,,,,,,
1927-28,1739,94930,-0.9,106.7,11.4,6.2,,,,,,,,,,,
1928-29,1712,93105,-1.9,99.6,-6.6,6.7,,,,,,,,,,,
1929-30,1566,94451,1.4,79.8,-19.9,9.8,,,,,,,,,,,
1930-31,1287,85552,-9.4,60.4,-24.2,16.4,,,,,,,,,,,
1931-32,1210,87003,1.7,60.5,0.1,19.7,,,,,,,,,,,
1932-33,1264,92223,6,63.9,5.6,18.9,,,,,,,,,,,
1933-34,1356,95663,3.7,83,29.9,16,,,,,,,,,,,
1934-35,1432,97802,2.2,69.5,-16.2,14,,,,,,,,,,,
1935-36,1574,102797,5.1,86.4,24.3,11,,,,,,,,,,,
1936-37,1717,106118,3.2,100.2,16,8.8,,,,,,,,,,,
