Month,Tony Costa,Blak Douglas,Vincent Namatjira,Peter Wegner,Yvette Coppersmith
2013-01,0,0,0,7,0
2013-02,0,0,14,0,0
2013-03,7,0,0,0,0
2013-04,7,0,0,8,0
2013-05,0,0,0,9,0
2013-06,0,6,0,6,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,11,0
2013-10,0,0,0,0,0
2013-11,0,0,0,5,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,7
2014-02,7,0,0,0,0
2014-03,7,0,0,0,0
2014-04,0,0,0,0,0
2014-05,7,0,0,0,5
2014-06,0,4,7,5,0
2014-07,0,0,0,0,0
2014-08,8,10,0,0,0
2014-09,7,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,6,6,0
2014-12,10,6,0,0,0
2015-01,0,0,0,0,0
2015-02,0,6,0,0,0
2015-03,0,0,5,0,4
2015-04,7,0,0,0,0
2015-05,5,0,5,0,0
2015-06,0,0,11,5,0
2015-07,0,8,0,13,9
2015-08,4,0,10,0,0
2015-09,0,0,0,0,0
2015-10,0,0,4,0,0
2015-11,0,0,0,6,0
2015-12,0,0,0,11,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,10,4,0
2016-04,0,0,5,0,0
2016-05,6,5,7,18,0
2016-06,0,4,6,0,0
2016-07,0,0,0,0,0
2016-08,7,0,0,0,0
2016-09,4,4,0,5,0
2016-10,5,0,0,0,0
2016-11,0,0,0,6,0
2016-12,0,0,0,0,0
2017-01,0,0,0,0,0
2017-02,6,0,4,0,0
2017-03,7,6,0,10,0
2017-04,0,7,5,11,0
2017-05,4,0,0,0,0
2017-06,0,0,0,0,0
2017-07,0,0,0,11,4
2017-08,9,4,9,0,0
2017-09,0,0,0,0,0
2017-10,3,15,0,7,6
2017-11,0,0,19,12,0
2017-12,0,9,0,0,0
2018-01,6,0,0,0,5
2018-02,9,4,8,0,11
2018-03,0,0,0,0,0
2018-04,0,5,0,0,0
2018-05,0,9,0,0,43
2018-06,9,7,0,0,6
2018-07,0,0,0,7,7
2018-08,16,3,0,0,6
2018-09,0,5,0,0,16
2018-10,4,4,0,6,14
2018-11,10,4,4,0,6
2018-12,0,0,7,0,0
2019-01,10,0,0,0,10
2019-02,0,5,5,0,0
2019-03,8,0,0,0,0
2019-04,0,0,4,0,6
2019-05,40,4,7,0,5
2019-06,12,0,0,7,7
2019-07,10,6,15,0,0
2019-08,5,5,0,0,0
2019-09,7,0,0,0,14
2019-10,0,0,0,0,0
2019-11,10,0,0,0,0
2019-12,19,11,0,0,0
2020-01,11,0,0,3,6
2020-02,5,0,6,0,6
2020-03,14,0,4,0,6
2020-04,4,0,0,0,0
2020-05,10,0,0,0,0
2020-06,3,5,11,10,0
2020-07,5,0,0,0,4
2020-08,6,0,0,4,10
2020-09,5,0,100,0,4
2020-10,12,7,16,0,5
2020-11,0,0,0,0,5
2020-12,5,5,9,0,0
2021-01,5,0,4,0,0
2021-02,0,0,11,9,0
2021-03,5,0,0,0,0
2021-04,12,0,5,7,4
2021-05,11,14,7,0,4
2021-06,7,6,10,40,0
2021-07,0,0,24,0,3
2021-08,6,6,10,0,0
2021-09,10,4,17,0,0
2021-10,0,12,0,0,0
2021-11,5,9,9,7,0
2021-12,0,19,14,0,0
2022-01,0,5,6,5,0
2022-02,7,15,6,0,0
2022-03,0,0,19,0,4
2022-04,0,0,4,0,0
2022-05,7,70,11,5,12
2022-06,6,14,0,0,0
2022-07,3,11,6,7,4
2022-08,0,51,9,5,4
2022-09,0,23,16,0,6
2022-10,0,13,10,6,5
2022-11,4,17,11,0,0
2022-12,4,4,0,0,0
2023-01,4,5,7,0,0
