,0,1,2,3,Year
0,/prizes/archibald/1921/21270/,Mary Cecil Allen,(Lady Chauvel),,1921
1,/prizes/archibald/1921/21269/,Mary Cecil Allen,Portrait,,1921
2,/prizes/archibald/1921/21272/,Herbert Beecroft,Miniature (Title unknown),,1921
3,/prizes/archibald/1921/21274/,George Bell,Portrait,,1921
4,/prizes/archibald/1921/21255/,Norman Carter,Elioth Gruner,,1921
5,/prizes/archibald/1921/21260/,Norman Carter,Self-portrait,,1921
6,/prizes/archibald/1921/27822/,Norman Carter,(G Sydney Jones),,1921
7,/prizes/archibald/1921/21254/,Norman Carter,Hon WA Holman,,1921
8,/prizes/archibald/1921/27823/,Bessie Cooper,Miniature (Title unknown),,1921
9,/prizes/archibald/1921/27825/,Bessie Cooper,Miniature (Title unknown),,1921
10,/prizes/archibald/1921/27824/,Bessie Cooper,Miniature (Title unknown),,1921
11,/prizes/archibald/1921/21268/,Aileen R Dent,Portrait,,1921
12,/prizes/archibald/1921/27827/,Bernice Edwell,Miniature (Title unknown),,1921
13,/prizes/archibald/1921/27826/,Bernice Edwell,(Alexander Leeper),,1921
14,/prizes/archibald/1921/27828/,Bernice Edwell,Miniature (Title unknown),,1921
15,/prizes/archibald/1921/21263/,Mary Edwell-Burke,(William Macleod),,1921
16,/prizes/archibald/1921/21264/,Lindsay Bernard Hall,Portrait (Mrs Bernard Hall),,1921
17,/prizes/archibald/1921/21273/,Clewin Harcourt,Portrait,,1921
18,/prizes/archibald/1921/21258/,G F Harris,(William Thompson),,1921
19,/prizes/archibald/1921/21276/,Harry Bromilow Harrison,WP Hurst,,1921
20,/prizes/archibald/1921/21271/,Polly Hurry,Portrait,,1921
21,/prizes/archibald/1921/21265/,Frank Latimer,Portrait,,1921
22,/prizes/archibald/1921/21267/,Stanley Lloyd,Portrait,,1921
23,/prizes/archibald/1921/21275/,R J McFadden,Rt Hon A Fisher,,1921
24,/prizes/archibald/1921/17367/,W B McInnes,Desbrowe Annear,Winner: Archibald Prize 1921,1921
25,/prizes/archibald/1921/21277/,W B McInnes,Mother and son,,1921
26,/prizes/archibald/1921/27829/,W B McInnes,(Self-portrait),,1921
27,/prizes/archibald/1921/21259/,William Macleod,Portrait,,1921
28,/prizes/archibald/1921/21278/,Max Meldrum,Self-portrait,,1921
29,/prizes/archibald/1921/21262/,Benjamin Edward Minns,Portrait,,1921
30,/prizes/archibald/1921/27830/,Florence Aline Rodway,(Julian Ashton),,1921
31,/prizes/archibald/1921/21253/,Florence Aline Rodway,Sir Wm Cullen,,1921
32,/prizes/archibald/1921/21252/,Florence Aline Rodway,JF Archibald,,1921
33,/prizes/archibald/1921/27818/,Unknown artist,Lloyd George,,1921
34,/prizes/archibald/1921/27821/,Unknown artist,(Title unknown),,1921
35,/prizes/archibald/1921/27832/,Unknown artist,(Charles McCarthy),,1921
36,/prizes/archibald/1921/27831/,Mary Walker,Miniature (William Macleod),,1921
37,/prizes/archibald/1921/21261/,J S Watkins,Portrait (William Henry Warren),,1921
38,/prizes/archibald/1921/21256/,Joseph Wolinski,Portrait of my father,,1921
39,/prizes/archibald/1921/21266/,Joseph Wolinski,Portrait of Rabbi Cohen,,1921
40,/prizes/archibald/1921/21257/,A Marriott Woodhouse,Portrait of my mother,,1921
0,/prizes/archibald/1922/14567/,James Muir Auld,Portrait Mr Roderick Quinn,,1922
1,/prizes/archibald/1922/14654/,A M E Bale,Portrait Miss Jo Sweatman,,1922
2,,Lawson Balfour,Portrait of Mr Thomas Buckland,,1922
3,,Herbert Beecroft,Mrs Beecroft,,1922
4,,Herbert Beecroft,Portrait Lady McMillen,,1922
5,/prizes/archibald/1922/14736/,Herbert Beecroft,Portrait of Mr QL Deloitte,,1922
6,,Frederick Francis Burmeister,Portrait of Mr Mitchell,,1922
7,,Norman Carter,Portrait of Mr Hugh McCrae,,1922
8,/prizes/archibald/1922/15146/,Norman Carter,Portrait of Mr Peter Board,,1922
9,/prizes/archibald/1922/15145/,Norman Carter,Fernande,,1922
10,,Bessie Cooper,Subject unknown,,1922
11,,Augustus Cornehls,Self-portrait,,1922
12,,Aileen R Dent,Mr Bernard Cronin,,1922
13,,Bernice Edwell,Sir Frank Moulden,,1922
14,,Mary Edwell-Burke,Mr JHM Abbott,,1922
15,,Mary Edwell-Burke,Miss Nessie Tindall,,1922
16,,Charles Goode,Portrait Mr Trouchet,,1922
17,,May Grigg,Mr James Ashton,,1922
18,,May Grigg,Mr Thomas Grigg,,1922
19,/prizes/archibald/1922/16239/,Lindsay Bernard Hall,Lady with sponge,,1922
20,,Lindsay Bernard Hall,"Sir Robert Garran, KCMG",,1922
21,,G F Harris,Portrait,,1922
22,,G F Harris,Sir George Fuller,,1922
23,,Grace Hoy,Portrait of Mr Arthur Crocker,,1922
24,,James R Jackson,Portrait of Mr Cecil Hartt,,1922
25,,James R Jackson,Portrait of Hector Lamond,,1922
26,,A Elizabeth Kelly,Portrait of Mrs Hunter,,1922
27,,A Elizabeth Kelly,Portrait of Mrs Ernest Boulton,,1922
28,/prizes/archibald/1922/16961/,George W Lambert,Self-portrait,,1922
29,/prizes/archibald/1922/16960/,George W Lambert,General Chauvel,,1922
30,,Percy Leason,Portrait Mr John B Dalley,,1922
31,,John Longstaff,Portrait of Mr Edward W Knox,,1922
32,,W B McInnes,Dr Hamilton,,1922
33,,W B McInnes,Jean,,1922
34,,W B McInnes,Professor Sir Thomas Lyle,,1922
35,/prizes/archibald/1922/17371/,W B McInnes,Portrait of Mr S Ure Smith,,1922
36,/prizes/archibald/1922/17373/,W B McInnes,Professor Harrison Moore,(Winner: Archibald Prize 1922),1922
37,,W B McInnes,Boy Barrett,,1922
38,,William Macleod,Portrait of Miss Ruby Adams,,1922
39,/prizes/archibald/1922/17198/,William Macleod,Portrait of Mr Livingston Hopkins,,1922
40,,Wolla Meranda,The bookfellow,,1922
41,,Alfred William Pratt,Self-portrait,,1922
42,,William Albert Frederick Seppelt,Sir Douglas Mawson,,1922
43,,Jo Sweatman,Portrait Miss AME Bale,,1922
44,,Frederick Lyttelton Tregear,Self-portrait,,1922
45,,J S Watkins,Self-portrait,,1922
46,,J S Watkins,Portrait Mr CA Jeffries,,1922
47,,Joseph Wolinski,Mr James Nangle,,1922
48,,Joseph Wolinski,"Hon Daniel Levy, MLA",,1922
49,,Joseph Wolinski,"Lt Col Purdy, DSO; MD",,1922
50,,Joseph Wolinski,Mr AH Fullwood,,1922
51,,Joseph Wolinski,Self-portrait,,1922
52,,A Marriott Woodhouse,An Australian artist,,1922
0,,Lizzie McDougall Armstrong,L Brook Armstrong,,1923
1,,James Muir Auld,Self-portrait,,1923
2,,James Muir Auld,Frank Hutchens,,1923
3,,A M E Bale,Miss E Downing,,1923
4,,A M E Bale,James Anderson,,1923
5,,Lawson Balfour,Mrs Robson,,1923
6,,Lawson Balfour,Wm Lister Lister,,1923
7,,Lawson Balfour,"A Wallace Wichen, MD",,1923
8,,Herbert Beecroft,Thelma Harris,,1923
9,,George Bell,Daryl Lindsay,,1923
10,,Arthur Harold Brown-Beresford,Major General Sir Charles Rosenthal,,1923
11,,Norman Carter,Leon Gellert,,1923
12,/prizes/archibald/1923/15149/,Norman Carter,Peter Board,,1923
13,,Norman Carter,David Reid,,1923
14,,Norman Carter,Portrait study,,1923
15,/prizes/archibald/1923/15578/,Aileen R Dent,Peter Kirk,,1923
