c_code,occurence,proportion,rank,color_name,year
#0A0905,317310,0.855795111899843,1.0,navy,1921
#311D04,21992,0.05931311998014985,2.0,saddlebrown,1921
#625137,14858,0.040072496210670536,3.0,darkgoldenrod,1921
#7F7051,3058,0.008247522776432259,4.0,darkgoldenrod,1921
#4D3519,2947,0.007948152263618662,5.0,saddlebrown,1921
#784A28,2592,0.006990706028944544,6.0,saddlebrown,1921
#6A301A,2253,0.006076412300621935,7.0,maroon,1921
#9C552B,1567,0.004226248590800965,8.0,sienna,1921
#1D2726,1283,0.0034602916030616704,9.0,darkslategray,1921
#A18C61,930,0.0025082394316814915,10.0,tan,1921
#373123,557,0.0015022466273619255,11.0,dimgray,1921
#451A07,352,0.0009493551397332096,12.0,maroon,1921
#240900,307,0.0008279887156195891,13.0,maroon,1921
#9F9482,284,0.0007659569877392941,14.0,tan,1921
#434748,231,0.0006230143104499188,15.0,indigo,1921
#5D5B4F,86,0.0002319447216393637,16.0,darkolivegreen,1921
#893920,48,0.00012945751905452858,17.0,darkred,1921
#756031,46,0.0001240634557605899,18.0,darkgoldenrod,1921
#4E3634,17,4.584953799847888e-05,19.0,maroon,1921
#251B23,16,4.3152506351509526e-05,20.5,navy,1921
#9B6946,16,4.3152506351509526e-05,20.5,saddlebrown,1921
#192207,11,2.96673481166628e-05,22.0,darkgreen,1921
#223C49,9,2.427328482272411e-05,23.0,darkslategray,1921
#2F340B,8,2.1576253175754763e-05,24.0,darkolivegreen,1921
#2D1D1E,218875,0.32729363491451113,1.0,navy,1922
#040000,149118,0.2229828543743327,2.0,black,1922
#795C4A,114518,0.17124391768424893,3.0,saddlebrown,1922
#4A3B3E,64388,0.09628227328326919,4.0,purple,1922
#2B182B,29043,0.04342930457485847,5.0,navy,1922
#7C716B,15966,0.023874678126990678,6.0,sienna,1922
#E8D6CA,14776,0.022095217587649648,7.0,seashell,1922
#AD999A,14301,0.021384928716904276,8.0,rosybrown,1922
#342717,10886,0.01627832557249283,9.0,saddlebrown,1922
#987A62,6932,0.010365731477909269,10.0,peru,1922
#F8D2AE,6589,0.00985282814598156,11.0,peachpuff,1922
#F3B590,4509,0.006742510564612361,12.0,sandybrown,1922
#824725,3629,0.005426606972494624,13.0,saddlebrown,1922
#563C2D,3553,0.005312960753175365,14.0,saddlebrown,1922
#E4945F,3228,0.004826973631086428,15.0,sandybrown,1922
#BD693B,1692,0.002530123724844559,16.0,chocolate,1922
#0A051B,1435,0.002145820062146538,17.0,midnightblue,1922
#CFB4AB,1098,0.001641888800165086,18.0,darksalmon,1922
#423348,1074,0.001606000520380057,19.0,indigo,1922
