YEAR,WINNER,GENDER,DOB,DOD,PORTRAIT_TITLE,Sitter,Sitter_DOB,Sitter_Age,Self_Portait,PORTRAIT_GENDER,PORTRAIT_OCCUPATION,OCCUPATION_CATEGORY_1,OCCUPATION_CATEGORY_2,ANZSCO_1,ANZSCO_2
1921,W B McInnes,Male,1889,1939,Desbrowe Annear,Harold Desbrowe-Annear,1865,56,0,Male,,Architect,Architect,"Design, Engineering, Science and Transport Professionals",Professionals
1922,W B McInnes,Male,1889,1939,Professor Harrison Moore,William Harrison Moore,1867,55,0,Male,constitutional lawyer and dean of the law faculty at the University of Melbourne,Professor,Professor,Education Professionals,Professionals
1923,W B McInnes,Male,1889,1939,Portrait of a lady,Violet McInnes,1892,31,0,Female,"wife, Violet McInnes",Wife,Person,,
1924,W B McInnes,Male,1889,1939,Miss Collins,Gladys Neville Collins,1890,34,0,Female,"socialite, daughter of Joseph Thomas Collins",Socialite,Person,,
1925,John Longstaff,Male,1861,1941,Maurice Moscovitch,Maurice Moscovitch,1871,54,0,Male,Russian-born actor,Actor,Actor,Arts and Media Professionals,Professionals
1926,W B McInnes,Male,1889,1939,Silk and lace (Miss Esther Paterson),Esther Paterson,1892,34,0,Female,commercial artist,Artist,Artist,Arts and Media Professionals,Professionals
1927,George W Lambert,Male,1873,1930,Mrs Murdoch,Annie Murdoch,1856,71,0,Female,mother of journalist,Mother,Person,,
1928,John Longstaff,Male,1861,1941,Dr Alexander Leeper,Alexander Leeper,1848,80,0,Male,educator,Educator,Educator,Education Professionals,Professionals
1929,John Longstaff,Male,1861,1941,"The Hon WA Holman, KC",William Holman,1871,58,0,Male,politician and barrister William Arthur Holman,Politician,Politician,"Chief Executives, General Managers and Legislators",Managers
1930,W B McInnes,Male,1889,1939,Drum-Major Harry McClelland,Harry McClelland,1884,46,0,Male,artist,Artist,Artist,Arts and Media Professionals,Professionals
1931,John Longstaff,Male,1861,1941,Sir John Sulman,John Sulman,1849,82,0,Male,architect,Architect,Architect,"Design, Engineering, Science and Transport Professionals",Professionals
1932,Ernest Buckmaster,Male,1897,1968,Sir William Irvine,William Irvine,1858,74,0,Male,chief justice of the Supreme Court,Politician,Politician,"Chief Executives, General Managers and Legislators",Managers
1933,Charles Wheeler,Male,1881,1977,Ambrose Pratt,Ambrose Pratt,1874,59,0,Male," novelist, journalist and businessman",Writer,Writer,Arts and Media Professionals,Professionals
1934,Henry Aloysius Hanke,Male,1901,1989,Self-portrait,Henry Hanke,1901,33,1,Male, first self-portrait to win the prize,Self Portrait,Artist,Arts and Media Professionals,Professionals
1935,John Longstaff,Male,1861,1941,AB (Banjo) Paterson,Banjo Paterson,1864,71,0,Male,writer and poet,Writer,Writer,Arts and Media Professionals,Professionals
1936,W B McInnes,Male,1889,1939,Dr Julian Smith,Julian Smith,1873,63,0,Male,,Surgeon,Surgeon,Health Professionals,Professionals
1937,Normand Baker,Male,1908,1955,Self-portrait,Normand Baker,1908,29,1,Male,,Self Portrait,Artist,Arts and Media Professionals,Professionals
1938,Nora Heysen,Female,1911,2003,Mme Elink Schuurman,Adine Michele Elink Schuurman,1913,25,0,Female,French wife of the Dutch consul-general to Australia,Spouse,Person,,
1939,Max Meldrum,Male,1875,1955,"Hon GJ Bell, CMG, DSO, VD (Speaker, House of Representatives)",George John Bell,1872,67,0,Male,politician George John Bell,Politician,Politician,"Chief Executives, General Managers and Legislators",Managers
1940,Max Meldrum,Male,1875,1955,Dr J Forbes Mackenzie,Forbes McKenzie,1879,61,0,Male,where Mackenzie was a surgeon,Surgeon,Surgeon,Health Professionals,Professionals
1941,William Dargie,Male,1912,2003,"Sir James Elder, KBE",Sir James Elder,1869,72,0,Male,Businessman/Boardmember of bank,Boardmember,Boardmember,"Chief Executives, General Managers and Legislators",Managers
1942,William Dargie,Male,1912,2003,"Corporal Jim Gordon, VC",Jim Gordon,1907,35,0,Male,soldier,Soldier,Army Man,Protective Service Workers,Community and Personal Service Workers
1943,William Dobell,Male,1899,1970,Mr Joshua Smith,Joshua Smith,1905,38,0,Male,,Artist,Artist,Arts and Media Professionals,Professionals
1944,Joshua Smith,Male,1905,1995,"Speaker, House of Representatives, Hon JS Rosevear, MP",Sol Rosevear,1892,52,0,Male,politician John Solomon,Politician,Politician,"Chief Executives, General Managers and Legislators",Managers
1945,William Dargie,Male,1912,2003,"Lt-General The Hon Edmund Herring, KBC, DSO, MC, ED",Edmund Herring,1892,53,0,Male,military officer and the chief justice,Army Officer,Army Man,Protective Service Workers,Community and Personal Service Workers
1946,William Dargie,Male,1912,2003,"LC Robson, MC, MA",Leonard Charles (Len) Robson,1894,52,0,Male,"educator, mathematician and rower",Educator,Educator,Education Professionals,Professionals
1947,William Dargie,Male,1912,2003,"Sir Marcus Clark, Kt, KBE",Reginald Marcus Clark,1883,64,0,Male,managing director,Chairman,Chairman,"Chief Executives, General Managers and Legislators",Managers
1948,William Dobell,Male,1899,1970,Margaret Olley,Margaret Olley,1923,25,0,Female,she won the Mosman Art Prize in 1947,Painter / Artist,Artist,Arts and Media Professionals,Professionals
1949,Arthur J Murch,Male,1902,1989,Bonar Dunlop,Bonar Dunlop,1916,33,0,Male,one of his sculpture students,Student,Person,,
1950,William Dargie,Male,1912,2003,Sir Leslie McConnan,"	Leslie McConnan",1887,63,0,Male,Bank manager,Manager,Manager,"Chief Executives, General Managers and Legislators",Managers
1951,Ivor Hele,Male,1912,1993,Laurie Thomas,Laurie Thomas,1915,36,0,Male,"art critic, gallery director, journalist and editor",Art Critic,Art Critic,Arts and Media Professionals,Professionals
1952,William Dargie,Male,1912,2003,"Mr Essington Lewis, CH",Essington Lewis,1881,71,0,Male,BHP chariman / director of munitions,Industrialist,Industrialist,"Chief Executives, General Managers and Legislators",Managers
1953,Ivor Hele,Male,1912,1993,"Sir Henry Simpson Newland, CBE, DSO, MS, FRCS",Henry Simpson Newland,1873,80,0,Male,Adelaide surgeon,Surgeon,Surgeon,Health Professionals,Professionals
1954,Ivor Hele,Male,1912,1993,"Rt Hon RG Menzies, PC, CH, QC, MP",Robert Menzies,1894,60,0,Male,longest-serving prime minister,Politician,Politician,"Chief Executives, General Managers and Legislators",Managers
1955,Ivor Hele,Male,1912,1993,Robert Campbell,Robert Campbell,1902,53,0,Male,artist and gallery administrator,Artist,Artist,Arts and Media Professionals,Professionals
