Year,AUD_Equivalent,RBA_2021
1921,800.00,34922.88
1922,800.00,34138.10
1923,1084.55,46806.51
1924,1059.37,46806.51
1925,1083.62,45727.33
1926,1078.36,46016.38
1927,1143.80,48808.94
1928,1184.32,49427.17
1929,1132.00,49415.88
1930,1056.31,51432.24
1931,869.87,44643.71
1932,758.34,40564.48
1933,742.80,38644.56
1934,780.83,40074.30
1935,848.76,42979.58
1936,842.21,41007.59
1937,867.19,41168.44
1938,844.67,39121.08
1939,912.57,40774.16
1940,903.72,38564.32
1941,887.03,34730.22
1942,887.33,33210.31
1943,859.66,32648.65
1944,891.52,33858.90
1945,882.92,32870.76
1946,934.00,33464.19
1947,1000.00,35828.90
1948,1000.64,29689.85
1949,1013.03,27652.92
1950,1040.22,23775.67
1951,962.14,18759.80
1952,1079.62,20145.97
1953,1067.38,19610.96
1954,1189.07,21515.80
1955,1290.23,22091.06
1956,1387.64,23096.74
1957,1387.93,22941.58
1958,1421.31,23015.56
1959,1498.10,23387.01
1960,1521.59,23222.50
1961,1512.55,23158.50
1962,1735.83,26407.88
1963,1856.44,27455.80
1964,1800.00,25744.31
1965,1584.25,21936.12
1966,,
1967,1927.44,25156.78
1968,1927.00,24352.59
1969,2090.92,25545.59
1970,4000.00,43427.27
1971,2400.00,26056.36
1972,,
1973,2900.00,25005.96
1974,3166.00,23705.30
1975,1201.45,7938.21
1976,3515.00,20678.76
1977,3515.00,19146.13
1978,3500.00,17470.74
1979,3500.00,15862.90
1980,3500.00,14488.30
1981,10000.00,37175.10
1982,10000.00,33783.59
1983,10000.00,32496.60
1984,10000.00,30446.14
1985,10000.00,27919.35
1986,20000.00,51448.57
1987,20000.00,47985.94
1988,20000.00,44624.01
1989,20000.00,41575.28
1990,20000.00,40295.23
1992,25000.00,49864.30
1993,25000.00,49004.92
1994,35000.00,67281.69
1995,35000.00,64305.77
1996,35000.00,62666.79
1997,35000.00,62526.18
1998,35000.00,61992.96
1999,35000.00,61086.96
2000,35000.00,58480.24
2001,35000.00,56011.73
2002,35000.00,54390.05
2003,35000.00,52943.32
2004,35000.00,51731.13
2005,35000.00,50375.11
2006,35000.00,48645.62
2007,35000.00,47539.10
2008,50000.00,65081.74
2009,50000.00,63949.13
2010,50000.00,62135.80
2011,50000.00,60148.58
2012,75000.00,88659.99
2013,75000.00,86539.86
2014,75000.00,84439.08
2015,100000.00,110912.47
2016,100000.00,109513.98
2017,100000.00,107420.73
2018,100000.00,105406.00
2019,100000.00,103735.07
2020,100000.00,100000.00
2021,100000.00,100000.00
2022,100000.00,100000.00
