,Month,Day,Year,Artist,Tour,Venue
0,Oct,7,2022,Teenage Dads,Ready Teddy Go!,"The Night Cat, Melbourne, Australia"
0,Oct,7,2022,UB40 featuring Ali Campbell,,"Margaret Court Arena, Melbourne, Australia"
0,Oct,6,2022,Banks Arcade,,"Sooki Lounge, Melbourne, Australia"
0,Oct,6,2022,In Hearts Wake,,"Sooki Lounge, Melbourne, Australia"
0,Oct,6,2022,The Kooks,Inside In / Inside Out 15th Anniversary,"Festival Hall, Melbourne, Australia"
0,Oct,6,2022,M O N R O E,,"Whole Lotta Love, Melbourne, Australia"
0,Oct,6,2022,Pridelands,,"Sooki Lounge, Melbourne, Australia"
0,Oct,6,2022,RedHook,,"Sooki Lounge, Melbourne, Australia"
0,Oct,6,2022,Slurm,,"Bar Open, Melbourne, Australia"
0,Oct,6,2022,The Vanns,Regional Tour 2022,"Festival Hall, Melbourne, Australia"
0,Oct,5,2022,Boys Like Girls,,"170 Russell, Melbourne, Australia"
0,Oct,4,2022,Boys Like Girls,,"170 Russell, Melbourne, Australia"
0,Oct,4,2022,mxmtoon,,"Salon, Melbourne Recital Centre, Melbourne, Australia"
0,Oct,1,2022,Adalita,,"Forum Theatre, Melbourne, Australia"
0,Oct,1,2022,The Angels,Red Hot Summer Tour,"Rochford Winery, Coldstream, Australia"
0,Oct,1,2022,Baby Animals,30th Anniversary Tour,"Rochford Winery, Coldstream, Australia"
0,Oct,1,2022,Chocolate Starfish,Red Hot Summer Tour,"Rochford Winery, Coldstream, Australia"
0,Oct,1,2022,Eskimo Joe,Black Fingernails Red Wine In the City Tour 2022,"Forum Theatre, Melbourne, Australia"
0,Oct,1,2022,Hunters & Collectors,Red Hot Summer Tour,"Rochford Winery, Coldstream, Australia"
0,Oct,1,2022,Killing Heidi,Red Hot Summer Tour,"Rochford Winery, Coldstream, Australia"
0,Oct,1,2022,The Living End,Red Hot Summer Tour,"Rochford Winery, Coldstream, Australia"
0,Oct,1,2022,Neil Murray,,"Memo Music Hall, Melbourne, Australia"
0,Oct,1,2022,Tyson O'Brien,,"Electric Bar, Melbourne, Australia"
0,Oct,1,2022,James Reyne,Red Hot Summer Tour,"Rochford Winery, Coldstream, Australia"
0,Oct,1,2022,Thallium,,"303 Bar, Melbourne, Australia"
0,Sep,30,2022,Private Function,,"Corner Hotel, Melbourne, Australia"
