,Unnamed: 0,0,1,2,Venue,Opened,Info,Also known as,Closed,Open,address_freq,inconsistent,venue_freq,address_prompt,location,point,latitude,longitude,altitude,address_prompt2,location2,point2,latitude2,longitude2,altitude2,is_problem,Lat,Long,Side of River
259,259,80 Lygon St,Brunswick East VIC 3057,Australia,"Bridge Hotel, Melbourne, Australia",,,"The B East, ",,,2,TRUE,15,80 Lygon St Brunswick East VIC 3057 Australia,"The B.East, 80, Lygon Street, Brunswick East, Melbourne, City of Merri-bek, Victoria, 3057, Australia","(-37.7763121, 144.9711859, 0.0)",-37.7763121,144.9711859,0,"Bridge Hotel, Melbourne, Australia","Bridge Hotel, 197, Watton Street, Werribee, Melbourne, City of Wyndham, Victoria, 3030, Australia","(-37.9043196, 144.65648, 0.0)",-37.9043196,144.65648,0,Address match and venue match found but they conflict. Choose the most accurate.,,,North
77,77,,,,"The Commercial Hotel, Melbourne, Australia",,,,,,,,58,"The Commercial Hotel, Melbourne, Australia","The Commercial Hotel, 111, Watton Street, Werribee, Melbourne, City of Wyndham, Victoria, 3030, Australia","(-37.9021764, 144.6601856, 0.0)",-37.9021764,144.6601856,0,"The Commercial Hotel, Melbourne, Australia","The Commercial Hotel, 111, Watton Street, Werribee, Melbourne, City of Wyndham, Victoria, 3030, Australia","(-37.9021764, 144.6601856, 0.0)",-37.9021764,144.6601856,0,Same match for venue and address.,,,
73,73,Main Dr,Werribee South VIC 3030,Australia,"Werribee Park, Melbourne, Australia",,,Werribee Mansion,,,1,,35,Main Dr Werribee South VIC 3030 Australia,"Main Drive, Werribee South, Melbourne, City of Wyndham, Victoria, 3030, Australia","(-37.9211348, 144.6769283, 0.0)",-37.9211348,144.6769283,0,"Werribee Park, Melbourne, Australia","Werribee Park, Werribee South, Melbourne, City of Wyndham, Victoria, Australia","(-37.92754325, 144.6712824060007, 0.0)",-37.92754325,144.6712824,0,Address match and venue match found but they conflict. Choose the most accurate.,,,North
36,36,71A Acland St,St Kilda VIC 3182,Australia,"The Vineyard, Melbourne, Australia",,,,,,1,,14,71A Acland St St Kilda VIC 3182 Australia,"Acland Street, St Kilda, Melbourne, City of Port Phillip, Victoria, 3182, Australia","(-37.867018, 144.9782333, 0.0)",-37.867018,144.9782333,0,"The Vineyard, Melbourne, Australia","The Vineyard, Fingal, Melbourne, Shire of Mornington Peninsula, Victoria, 3941, Australia","(-38.4087953, 144.8577441, 0.0)",-38.4087953,144.8577441,0,Address match and venue match found but they conflict. Choose the most accurate.,,,South
135,135,,,,"The Substation, Melbourne, Australia",,,,,,,,10,"The Substation, Melbourne, Australia","The Substation, 1, Market Street, Newport, Melbourne, City of Hobsons Bay, Victoria, 3015, Australia","(-37.8442106, 144.8829759490136, 0.0)",-37.8442106,144.8829759,0,"The Substation, Melbourne, Australia","The Substation, 1, Market Street, Newport, Melbourne, City of Hobsons Bay, Victoria, 3015, Australia","(-37.8442106, 144.8829759490136, 0.0)",-37.8442106,144.8829759,0,Same match for venue and address.,,,
101,101,135 Stephen St,Yarraville VIC 3013,Australia,"Yarraville Club, Melbourne, Australia",,,Yarraville Live,,,1,,17,135 Stephen St Yarraville VIC 3013 Australia,"Stephen Street, Yarraville, Melbourne, City of Maribyrnong, Victoria, 3013, Australia","(-37.8185301, 144.8939457, 0.0)",-37.8185301,144.8939457,0,"Yarraville Club, Melbourne, Australia","Yarraville Club, 129, Stephen Street, Yarraville, Melbourne, City of Maribyrnong, Victoria, 3013, Australia","(-37.81775145, 144.89442343709425, 0.0)",-37.81775145,144.8944234,0,Address match and venue match found but they conflict. Choose the most accurate.,,,
164,164,,,,"Phoenix Youth Centre, Melbourne, Australia",,,,,,,,36,"Phoenix Youth Centre, Melbourne, Australia","Phoenix Youth Centre, 72, Buckley Street, Footscray, Melbourne, City of Maribyrnong, Victoria, 3011, Australia","(-37.80331765, 144.89540951645057, 0.0)",-37.80331765,144.8954095,0,"Phoenix Youth Centre, Melbourne, Australia","Phoenix Youth Centre, 72, Buckley Street, Footscray, Melbourne, City of Maribyrnong, Victoria, 3011, Australia","(-37.80331765, 144.89540951645057, 0.0)",-37.80331765,144.8954095,0,Same match for venue and address.,,,
117,117,,,,"Footscray Community Arts Centre, Melbourne, Australia",,,,,,,,15,"Footscray Community Arts Centre, Melbourne, Australia","Footscray Community Arts Centre, 45, Moreland Street, Footscray, Melbourne, City of Maribyrnong, Victoria, 3011, Australia","(-37.8033391, 144.9073334, 0.0)",-37.8033391,144.9073334,0,"Footscray Community Arts Centre, Melbourne, Australia","Footscray Community Arts Centre, 45, Moreland Street, Footscray, Melbourne, City of Maribyrnong, Victoria, 3011, Australia","(-37.8033391, 144.9073334, 0.0)",-37.8033391,144.9073334,0,Same match for venue and address.,,,
105,105,448 Epsom Rd,Flemington VIC 3031,Australia,"Flemington Racecourse, Melbourne, Australia",March 1840,,,,,1,,49,448 Epsom Rd Flemington VIC 3031 Australia,"Busters Bar, 448, Epsom Road, Flemington, Melbourne, City of Melbourne, Victoria, 3031, Australia","(-37.7874172, 144.9087629, 0.0)",-37.7874172,144.9087629,0,"Flemington Racecourse, Melbourne, Australia","Flemington Racecourse, Leonard Crescent, Flemington, Melbourne, City of Melbourne, Victoria, 3031, Australia","(-37.78732695, 144.90742357944026, 0.0)",-37.78732695,144.9074236,0,Address match and venue match found but they conflict. Choose the most accurate.,,,North
15,15,Epsom Road,Ascot Vale VIC 3032,Australia,"Royal Melbourne Showgrounds, Melbourne, Australia",1882,,"Melbourne Showgrounds, ",,,1,,95,Epsom Road Ascot Vale VIC 3032 Australia,"Epsom Road, Ascot Vale, Melbourne, City of Moonee Valley, Victoria, 3032, Australia","(-37.7733937, 144.9078944, 0.0)",-37.7733937,144.9078944,0,"Royal Melbourne Showgrounds, Melbourne, Australia","Royal Melbourne Showgrounds, Flemington, Melbourne, City of Melbourne, Victoria, Australia","(-37.782899549999996, 144.91133030360731, 0.0)",-37.78289955,144.9113303,0,Address match and venue match found but they conflict. Choose the most accurate.,,,North
140,140,109 Union St,Brunswick VIC 3056,Australia,"The Union Hotel, Melbourne, Australia",,,,,,1,,17,109 Union St Brunswick VIC 3056 Australia,"Union Hotel Brunswick, 109, Union Street, Brunswick, Melbourne, City of Merri-bek, Victoria, 3056, Australia","(-37.7734411, 144.9531861, 0.0)",-37.7734411,144.9531861,0,"The Union Hotel, Melbourne, Australia","The Union Hotel, Maribyrnong Road, Ascot Vale, Melbourne, City of Moonee Valley, Victoria, 3032, Australia","(-37.7719515, 144.9164886, 0.0)",-37.7719515,144.9164886,0,Address match and venue match found but they conflict. Choose the most accurate.,,,North
134,134,,,,"The Clocktower Centre, Melbourne, Australia",,,,,,,,10,"The Clocktower Centre, Melbourne, Australia","The Clocktower Centre, 750, Mount Alexander Road, Moonee Ponds, Melbourne, City of Moonee Valley, Victoria, 3039, Australia","(-37.7656716, 144.9248037207342, 0.0)",-37.7656716,144.9248037,0,"The Clocktower Centre, Melbourne, Australia","The Clocktower Centre, 750, Mount Alexander Road, Moonee Ponds, Melbourne, City of Moonee Valley, Victoria, 3039, Australia","(-37.7656716, 144.9248037207342, 0.0)",-37.7656716,144.9248037,0,Same match for venue and address.,,,
295,295,,,,"Cross Keys Hotel, Melbourne, Australia",,,Crosskeys Hotel,,,,,11,"Cross Keys Hotel, Melbourne, Australia","Cross Keys Hotel, Bridge Street, Essendon, Melbourne, City of Moonee Valley, Victoria, 3040, Australia","(-37.7442391, 144.9282811688889, 0.0)",-37.7442391,144.9282812,0,"Cross Keys Hotel, Melbourne, Australia","Cross Keys Hotel, Bridge Street, Essendon, Melbourne, City of Moonee Valley, Victoria, 3040, Australia","(-37.7442391, 144.9282811688889, 0.0)",-37.7442391,144.9282812,0,Same match for venue and address.,,,North
148,148,1 McPherson Street,Moonee Ponds VIC 3039,Australia,"Moonee Valley Racecourse, Melbourne, Australia",1883,,Moonee Valley Racing Club,,,1,,14,1 McPherson Street Moonee Ponds VIC 3039 Australia,"McPherson Street, Moonee Ponds, Melbourne, City of Moonee Valley, Victoria, 3039, Australia","(-37.7667472, 144.9272935, 0.0)",-37.7667472,144.9272935,0,"Moonee Valley Racecourse, Melbourne, Australia","Moonee Valley Racecourse, Thomas Street, Moonee Ponds, Melbourne, City of Moonee Valley, Victoria, 3039, Australia","(-37.7661244, 144.93233146423776, 0.0)",-37.7661244,144.9323315,0,Address match and venue match found but they conflict. Choose the most accurate.,,,North
232,232,,,,"Manchester Lane, Melbourne, Australia",,,,,,,,28,"Manchester Lane, Melbourne, Australia","Manchester Lane, Parkville, Melbourne, City of Melbourne, Victoria, 3055, Australia","(-37.7772056, 144.9384047, 0.0)",-37.7772056,144.9384047,0,"Manchester Lane, Melbourne, Australia","Manchester Lane, Parkville, Melbourne, City of Melbourne, Victoria, 3055, Australia","(-37.7772056, 144.9384047, 0.0)",-37.7772056,144.9384047,0,Same match for venue and address.,,,North
99,99,,,,"Estonian House, Melbourne, Australia",,,,,,,,12,"Estonian House, Melbourne, Australia","Estonian House, Melville Road, Brunswick West, Melbourne, City of Merri-bek, Victoria, 3055, Australia","(-37.76505375, 144.94338074299412, 0.0)",-37.76505375,144.9433807,0,"Estonian House, Melbourne, Australia","Estonian House, Melville Road, Brunswick West, Melbourne, City of Merri-bek, Victoria, 3055, Australia","(-37.76505375, 144.94338074299412, 0.0)",-37.76505375,144.9433807,0,Same match for venue and address.,,,North
187,187,74-76 Johnston Street,Fitzroy VIC 3065,Australia,"Next, Melbourne, Australia",,,,,,2,TRUE,28,74-76 Johnston Street Fitzroy VIC 3065 Australia,"The Old Bar, 74-76, Johnston Street, Fitzroy, Melbourne, City of Yarra, Victoria, 3065, Australia","(-37.79833, 144.97711, 0.0)",-37.79833,144.97711,0,"Next, Melbourne, Australia","Next, Victoria Street, Brunswick West, Melbourne, City of Merri-bek, Victoria, 3055, Australia","(-37.7646766, 144.9441144, 0.0)",-37.7646766,144.9441144,0,Address match and venue match found but they conflict. Choose the most accurate.,,,North
